sort;GdenameTG;anzahl_doss;anzahl_pers;quote;Einwohner_2022;Quote_Kategorie
50;Aadorf;49;60;0.6;9422;Quote <1,0
63;Affeltrangen;18;23;0.8;2786;Quote <1,0
36;Altnau;4;4;0.2;2347;Quote <1,0
64;Amlikon-Bissegg;1;3;0.2;1373;Quote <1,0
1;Amriswil;95;138;1;14313;Quote 1,0–1,9
2;Arbon;273;377;2.4;15459;Quote >= 2,0
13;Basadingen-Schlattingen;15;22;1.2;1846;Quote 1,0–1,9
65;Berg;22;29;0.8;3532;Quote <1,0
14;Berlingen;3;3;0.3;928;Quote <1,0
51;Bettwiesen;7;11;0.9;1275;Quote <1,0
52;Bichelsee-Balterswil;16;17;0.6;3007;Quote <1,0
66;Birwinken;1;1;0.1;1381;Quote <1,0
67;Bischofszell;48;66;1.1;6064;Quote 1,0–1,9
37;Bottighofen;7;10;0.4;2696;Quote <1,0
53;Braunau;6;8;0.9;855;Quote <1,0
69;Bussnang;13;18;0.7;2546;Quote <1,0
68;Bürglen;23;37;0.9;4067;Quote <1,0
15;Diessenhofen;51;68;1.7;4118;Quote 1,0–1,9
3;Dozwil;1;3;0.4;715;Quote <1,0
4;Egnach;31;53;1.1;4897;Quote 1,0–1,9
70;Erlen;27;41;1.1;3888;Quote 1,0–1,9
38;Ermatingen;;;;3770;Quote <1,0
16;Eschenz;5;7;0.4;1882;Quote <1,0
54;Eschlikon;32;38;0.8;4847;Quote <1,0
17;Felben-Wellhausen;21;36;1.1;3199;Quote 1,0–1,9
55;Fischingen;23;25;0.9;2933;Quote <1,0
18;Frauenfeld;370;529;2;26093;Quote >= 2,0
19;Gachnang;16;22;0.5;4564;Quote <1,0
39;Gottlieben;2;3;0.9;345;Quote <1,0
40;Güttingen;8;12;0.7;1716;Quote <1,0
71;Hauptwil-Gottshaus;9;11;0.5;2040;Quote <1,0
5;Hefenhofen;11;11;0.8;1309;Quote <1,0
20;Herdern;3;3;0.3;1136;Quote <1,0
72;Hohentannen;2;2;0.3;661;Quote <1,0
21;Homburg;4;6;0.4;1579;Quote <1,0
6;Horn;18;21;0.7;2907;Quote <1,0
22;Hüttlingen;5;5;0.6;852;Quote <1,0
23;Hüttwilen;5;11;0.6;1775;Quote <1,0
81;Kanton Thurgau;2219;3132;1.1;289650;Quote 1,0–1,9
41;Kemmental;13;26;1;2729;Quote 1,0–1,9
7;Kesswil;3;3;0.3;1007;Quote <1,0
73;Kradolf-Schönenberg;34;42;1.1;3669;Quote 1,0–1,9
42;Kreuzlingen;235;332;1.5;22788;Quote 1,0–1,9
43;Langrickenbach;6;9;0.6;1442;Quote <1,0
44;Lengwil;4;4;0.2;1759;Quote <1,0
56;Lommis;4;6;0.5;1254;Quote <1,0
24;Mammern;1;1;0.1;693;Quote <1,0
25;Matzingen;16;16;0.5;3112;Quote <1,0
74;Märstetten;18;25;0.9;2927;Quote <1,0
26;Müllheim;30;34;1.1;3218;Quote 1,0–1,9
57;Münchwilen;31;42;0.7;5854;Quote <1,0
45;Münsterlingen;14;28;0.8;3522;Quote <1,0
27;Neunforn;2;5;0.5;1088;Quote <1,0
28;Pfyn;16;20;0.9;2208;Quote <1,0
46;Raperswilen;;;;435;Quote <1,0
58;Rickenbach;31;52;1.7;2999;Quote 1,0–1,9
8;Roggwil;11;18;0.5;3358;Quote <1,0
9;Romanshorn;190;265;2.3;11556;Quote >= 2,0
47;Salenstein;6;6;0.4;1440;Quote <1,0
10;Salmsach;5;7;0.4;1576;Quote <1,0
29;Schlatt;9;10;0.5;1859;Quote <1,0
75;Schönholzerswilen;1;5;0.6;882;Quote <1,0
59;Sirnach;83;129;1.6;7963;Quote 1,0–1,9
11;Sommeri;3;6;0.9;654;Quote <1,0
30;Steckborn;42;61;1.5;3997;Quote 1,0–1,9
31;Stettfurt;;;;1237;Quote <1,0
76;Sulgen;29;38;0.9;4056;Quote <1,0
32;Thundorf;4;4;0.3;1598;Quote <1,0
60;Tobel-Tägerschen;6;9;0.6;1616;Quote <1,0
48;Tägerwilen;8;10;0.2;5147;Quote <1,0
33;Uesslingen-Buch;2;3;0.3;1120;Quote <1,0
12;Uttwil;9;14;0.7;1918;Quote <1,0
34;Wagenhausen;12;19;1.1;1787;Quote 1,0–1,9
35;Warth-Weiningen;2;2;0.1;1400;Quote <1,0
77;Weinfelden;76;117;1;11893;Quote 1,0–1,9
78;Wigoltingen;10;12;0.5;2600;Quote <1,0
62;Wilen;11;19;0.8;2508;Quote <1,0
79;Wuppenau;4;7;0.6;1189;Quote <1,0
49;Wäldi;5;6;0.5;1119;Quote <1,0
61;Wängi;26;37;0.8;4816;Quote <1,0
80;Zihlschlacht-Sitterdorf;14;14;0.6;2534;Quote <1,0
