DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
16.05.2004;Gesetz zum Vollzug der Bundesgesetzgebung über den Erwerb von Grundstücken durch Personen im Ausland;4;Fakultatives Referendum;2004;Frauenfeld;4551;Aadorf;4923;1969;64;41;1864;846;1018;40
16.05.2004;Gesetz zum Vollzug der Bundesgesetzgebung über den Erwerb von Grundstücken durch Personen im Ausland;4;Fakultatives Referendum;2006;Münchwilen;4711;Affeltrangen;1418;616;8;16;592;223;369;43.44
16.05.2004;Gesetz zum Vollzug der Bundesgesetzgebung über den Erwerb von Grundstücken durch Personen im Ausland;4;Fakultatives Referendum;2005;Kreuzlingen;4641;Altnau;1204;512;12;5;495;219;276;42.52
16.05.2004;Gesetz zum Vollzug der Bundesgesetzgebung über den Erwerb von Grundstücken durch Personen im Ausland;4;Fakultatives Referendum;2008;Weinfelden;4881;Amlikon-Bissegg;806;363;8;0;355;143;212;45.04
16.05.2004;Gesetz zum Vollzug der Bundesgesetzgebung über den Erwerb von Grundstücken durch Personen im Ausland;4;Fakultatives Referendum;2002;Bischofszell;4461;Amriswil;6683;2564;72;34;2458;999;1459;38.37
16.05.2004;Gesetz zum Vollzug der Bundesgesetzgebung über den Erwerb von Grundstücken durch Personen im Ausland;4;Fakultatives Referendum;2001;Arbon;4401;Arbon;7565;2896;79;62;2755;1117;1638;38.28
16.05.2004;Gesetz zum Vollzug der Bundesgesetzgebung über den Erwerb von Grundstücken durch Personen im Ausland;4;Fakultatives Referendum;2003;Diessenhofen;4536;Basadingen-Schlattingen;1076;523;13;6;504;205;299;48.61
16.05.2004;Gesetz zum Vollzug der Bundesgesetzgebung über den Erwerb von Grundstücken durch Personen im Ausland;4;Fakultatives Referendum;2008;Weinfelden;4891;Berg;1962;865;17;5;843;353;490;44.09
16.05.2004;Gesetz zum Vollzug der Bundesgesetzgebung über den Erwerb von Grundstücken durch Personen im Ausland;4;Fakultatives Referendum;2007;Steckborn;4801;Berlingen;527;261;3;3;255;105;150;49.53
16.05.2004;Gesetz zum Vollzug der Bundesgesetzgebung über den Erwerb von Grundstücken durch Personen im Ausland;4;Fakultatives Referendum;2006;Münchwilen;4716;Bettwiesen;626;284;2;2;280;114;166;45.37
16.05.2004;Gesetz zum Vollzug der Bundesgesetzgebung über den Erwerb von Grundstücken durch Personen im Ausland;4;Fakultatives Referendum;2006;Münchwilen;4721;Bichelsee-Balterswil;1679;785;9;3;773;301;472;46.75
16.05.2004;Gesetz zum Vollzug der Bundesgesetzgebung über den Erwerb von Grundstücken durch Personen im Ausland;4;Fakultatives Referendum;2008;Weinfelden;4901;Birwinken;849;363;3;5;355;129;226;42.76
16.05.2004;Gesetz zum Vollzug der Bundesgesetzgebung über den Erwerb von Grundstücken durch Personen im Ausland;4;Fakultatives Referendum;2002;Bischofszell;4471;Bischofszell;3374;1330;29;17;1284;520;764;39.42
16.05.2004;Gesetz zum Vollzug der Bundesgesetzgebung über den Erwerb von Grundstücken durch Personen im Ausland;4;Fakultatives Referendum;2005;Kreuzlingen;4643;Bottighofen;1235;608;3;1;604;304;300;49.23
16.05.2004;Gesetz zum Vollzug der Bundesgesetzgebung über den Erwerb von Grundstücken durch Personen im Ausland;4;Fakultatives Referendum;2006;Münchwilen;4723;Braunau;470;224;3;3;218;78;140;47.66
16.05.2004;Gesetz zum Vollzug der Bundesgesetzgebung über den Erwerb von Grundstücken durch Personen im Ausland;4;Fakultatives Referendum;2008;Weinfelden;4911;Bürglen;1859;750;12;6;732;297;435;40.34
16.05.2004;Gesetz zum Vollzug der Bundesgesetzgebung über den Erwerb von Grundstücken durch Personen im Ausland;4;Fakultatives Referendum;2008;Weinfelden;4921;Bussnang;1417;653;17;0;636;226;410;46.08
16.05.2004;Gesetz zum Vollzug der Bundesgesetzgebung über den Erwerb von Grundstücken durch Personen im Ausland;4;Fakultatives Referendum;2003;Diessenhofen;4545;Diessenhofen;1840;833;21;0;812;361;451;45.27
16.05.2004;Gesetz zum Vollzug der Bundesgesetzgebung über den Erwerb von Grundstücken durch Personen im Ausland;4;Fakultatives Referendum;2001;Arbon;4406;Dozwil;323;166;1;0;165;47;118;51.39
16.05.2004;Gesetz zum Vollzug der Bundesgesetzgebung über den Erwerb von Grundstücken durch Personen im Ausland;4;Fakultatives Referendum;2001;Arbon;4411;Egnach;2749;1216;31;17;1168;470;698;44.23
