DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2004;Frauenfeld;4551;Aadorf;4954;1438;16;45;1377;1132;245;29.03
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2006;Münchwilen;4711;Affeltrangen;1455;469;5;0;464;362;102;32.23
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2005;Kreuzlingen;4641;Altnau;1214;361;5;2;354;282;72;29.74
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2008;Weinfelden;4881;Amlikon-Bissegg;806;281;3;0;278;227;51;34.86
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2002;Bischofszell;4461;Amriswil;6709;1875;22;14;1839;1463;376;27.95
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2001;Arbon;4401;Arbon;7561;2830;109;72;2649;1896;753;37.43
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2003;Diessenhofen;4536;Basadingen-Schlattingen;1095;338;5;2;331;253;78;30.87
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2008;Weinfelden;4891;Berg;1983;678;5;16;657;558;99;34.19
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2007;Steckborn;4801;Berlingen;534;340;6;0;334;248;86;63.67
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2006;Münchwilen;4716;Bettwiesen;608;199;1;0;198;151;47;32.73
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2006;Münchwilen;4721;Bichelsee-Balterswil;1705;539;7;3;529;402;127;31.61
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2008;Weinfelden;4901;Birwinken;866;291;3;2;286;239;47;33.6
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2002;Bischofszell;4471;Bischofszell;3387;954;9;16;929;715;214;28.17
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2005;Kreuzlingen;4643;Bottighofen;1251;456;9;1;446;367;79;36.45
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2006;Münchwilen;4723;Braunau;469;197;3;3;191;134;57;42
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2008;Weinfelden;4911;Bürglen;1871;582;4;6;572;461;111;31.11
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2008;Weinfelden;4921;Bussnang;1409;546;4;0;542;475;67;38.75
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2003;Diessenhofen;4545;Diessenhofen;1857;581;13;0;568;424;144;31.29
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2001;Arbon;4406;Dozwil;329;159;0;0;159;125;34;48.33
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2001;Arbon;4411;Egnach;2786;1527;25;28;1474;1132;342;54.81
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2002;Bischofszell;4476;Erlen;1866;522;3;5;514;398;116;27.97
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2005;Kreuzlingen;4646;Ermatingen;1655;515;7;0;508;414;94;31.12
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2007;Steckborn;4806;Eschenz;1031;385;4;0;381;284;97;37.34
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2006;Münchwilen;4724;Eschlikon;2359;759;11;5;743;578;165;32.17
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2004;Frauenfeld;4561;Felben-Wellhausen;1442;393;7;3;383;308;75;27.25
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2006;Münchwilen;4726;Fischingen;1824;610;1;7;602;448;154;33.44
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2004;Frauenfeld;4566;Frauenfeld;14054;5507;150;59;5298;4174;1124;39.18
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2004;Frauenfeld;4571;Gachnang;2220;674;6;0;668;560;108;30.36
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2005;Kreuzlingen;4651;Gottlieben;175;74;1;0;73;61;12;42.29
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2005;Kreuzlingen;4656;Güttingen;879;305;7;4;294;232;62;34.7
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2002;Bischofszell;4486;Hauptwil-Gottshaus;1248;366;5;0;361;272;89;29.33
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2001;Arbon;4416;Hefenhofen;760;234;0;6;228;166;62;30.79
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2007;Steckborn;4811;Herdern;630;236;3;7;226;187;39;37.46
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2002;Bischofszell;4495;Hohentannen;394;120;0;2;118;98;20;30.46
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2007;Steckborn;4816;Homburg;1011;375;6;4;365;291;74;37.09
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2001;Arbon;4421;Horn;1541;521;6;7;508;404;104;33.81
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2004;Frauenfeld;4590;Hüttlingen;604;275;9;0;266;207;59;45.53
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2007;Steckborn;4821;Hüttwilen;968;356;8;3;345;260;85;36.78
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2005;Kreuzlingen;4666;Kemmental;1459;463;1;2;460;352;108;31.73
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2001;Arbon;4426;Kesswil;606;236;4;4;228;181;47;38.94
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2002;Bischofszell;4501;Kradolf-Schönenberg;1926;472;4;4;464;393;71;24.51
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2005;Kreuzlingen;4671;Kreuzlingen;8236;2552;36;37;2479;1917;562;30.99
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2005;Kreuzlingen;4681;Langrickenbach;721;223;2;0;221;173;48;30.93
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2005;Kreuzlingen;4683;Lengwil;814;291;3;0;288;245;43;35.75
28.11.2004;Beschulss des Grossen Rates über das Kreditbegehren von 28.2 Mio. Franken für den Erweiterungsbau des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2006;Münchwilen;4741;Lommis;672;221;1;6;214;175;39;32.89
