DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
05.06.2005;Beschluss des Grossen Rates über das Kreditbegehren von 11'950'000 Franken für den Neubau des Verwaltungsgebäudes II in Frauenfeld;3;Obligatorisches Referendum;2004;Frauenfeld;4551;Aadorf;4975;2383;82;37;2264;1192;1072;47.9
05.06.2005;Beschluss des Grossen Rates über das Kreditbegehren von 11'950'000 Franken für den Neubau des Verwaltungsgebäudes II in Frauenfeld;3;Obligatorisches Referendum;2006;Münchwilen;4711;Affeltrangen;1450;806;10;15;781;305;476;55.59
05.06.2005;Beschluss des Grossen Rates über das Kreditbegehren von 11'950'000 Franken für den Neubau des Verwaltungsgebäudes II in Frauenfeld;3;Obligatorisches Referendum;2005;Kreuzlingen;4641;Altnau;1212;634;14;13;607;266;341;52.31
05.06.2005;Beschluss des Grossen Rates über das Kreditbegehren von 11'950'000 Franken für den Neubau des Verwaltungsgebäudes II in Frauenfeld;3;Obligatorisches Referendum;2008;Weinfelden;4881;Amlikon-Bissegg;827;516;6;1;509;189;320;62.39
05.06.2005;Beschluss des Grossen Rates über das Kreditbegehren von 11'950'000 Franken für den Neubau des Verwaltungsgebäudes II in Frauenfeld;3;Obligatorisches Referendum;2002;Bischofszell;4461;Amriswil;6804;3114;70;76;2968;1325;1643;45.77
05.06.2005;Beschluss des Grossen Rates über das Kreditbegehren von 11'950'000 Franken für den Neubau des Verwaltungsgebäudes II in Frauenfeld;3;Obligatorisches Referendum;2001;Arbon;4401;Arbon;7617;3318;106;118;3094;1365;1729;43.56
05.06.2005;Beschluss des Grossen Rates über das Kreditbegehren von 11'950'000 Franken für den Neubau des Verwaltungsgebäudes II in Frauenfeld;3;Obligatorisches Referendum;2003;Diessenhofen;4536;Basadingen-Schlattingen;1083;715;22;8;685;280;405;66.02
05.06.2005;Beschluss des Grossen Rates über das Kreditbegehren von 11'950'000 Franken für den Neubau des Verwaltungsgebäudes II in Frauenfeld;3;Obligatorisches Referendum;2008;Weinfelden;4891;Berg;1913;1076;26;13;1037;419;618;56.25
05.06.2005;Beschluss des Grossen Rates über das Kreditbegehren von 11'950'000 Franken für den Neubau des Verwaltungsgebäudes II in Frauenfeld;3;Obligatorisches Referendum;2007;Steckborn;4801;Berlingen;538;332;10;1;321;147;174;61.71
05.06.2005;Beschluss des Grossen Rates über das Kreditbegehren von 11'950'000 Franken für den Neubau des Verwaltungsgebäudes II in Frauenfeld;3;Obligatorisches Referendum;2006;Münchwilen;4716;Bettwiesen;621;347;4;0;343;157;186;55.88
05.06.2005;Beschluss des Grossen Rates über das Kreditbegehren von 11'950'000 Franken für den Neubau des Verwaltungsgebäudes II in Frauenfeld;3;Obligatorisches Referendum;2006;Münchwilen;4721;Bichelsee-Balterswil;1724;980;12;7;961;415;546;56.84
05.06.2005;Beschluss des Grossen Rates über das Kreditbegehren von 11'950'000 Franken für den Neubau des Verwaltungsgebäudes II in Frauenfeld;3;Obligatorisches Referendum;2008;Weinfelden;4901;Birwinken;874;513;10;13;490;181;309;58.7
05.06.2005;Beschluss des Grossen Rates über das Kreditbegehren von 11'950'000 Franken für den Neubau des Verwaltungsgebäudes II in Frauenfeld;3;Obligatorisches Referendum;2002;Bischofszell;4471;Bischofszell;3353;1708;30;40;1638;645;993;50.94
05.06.2005;Beschluss des Grossen Rates über das Kreditbegehren von 11'950'000 Franken für den Neubau des Verwaltungsgebäudes II in Frauenfeld;3;Obligatorisches Referendum;2005;Kreuzlingen;4643;Bottighofen;1249;730;25;13;692;307;385;58.45
05.06.2005;Beschluss des Grossen Rates über das Kreditbegehren von 11'950'000 Franken für den Neubau des Verwaltungsgebäudes II in Frauenfeld;3;Obligatorisches Referendum;2006;Münchwilen;4723;Braunau;469;295;10;1;284;105;179;62.9
05.06.2005;Beschluss des Grossen Rates über das Kreditbegehren von 11'950'000 Franken für den Neubau des Verwaltungsgebäudes II in Frauenfeld;3;Obligatorisches Referendum;2008;Weinfelden;4911;Bürglen;1914;1047;15;12;1020;308;712;54.7
05.06.2005;Beschluss des Grossen Rates über das Kreditbegehren von 11'950'000 Franken für den Neubau des Verwaltungsgebäudes II in Frauenfeld;3;Obligatorisches Referendum;2008;Weinfelden;4921;Bussnang;1426;861;18;2;841;322;519;60.38
05.06.2005;Beschluss des Grossen Rates über das Kreditbegehren von 11'950'000 Franken für den Neubau des Verwaltungsgebäudes II in Frauenfeld;3;Obligatorisches Referendum;2003;Diessenhofen;4545;Diessenhofen;1863;1076;53;0;1023;510;513;57.76
05.06.2005;Beschluss des Grossen Rates über das Kreditbegehren von 11'950'000 Franken für den Neubau des Verwaltungsgebäudes II in Frauenfeld;3;Obligatorisches Referendum;2001;Arbon;4406;Dozwil;336;244;3;1;240;85;155;72.62
05.06.2005;Beschluss des Grossen Rates über das Kreditbegehren von 11'950'000 Franken für den Neubau des Verwaltungsgebäudes II in Frauenfeld;3;Obligatorisches Referendum;2001;Arbon;4411;Egnach;2781;1435;41;17;1377;663;714;51.6
05.06.2005;Beschluss des Grossen Rates über das Kreditbegehren von 11'950'000 Franken für den Neubau des Verwaltungsgebäudes II in Frauenfeld;3;Obligatorisches Referendum;2002;Bischofszell;4476;Erlen;1863;952;32;14;906;332;574;51.1
05.06.2005;Beschluss des Grossen Rates über das Kreditbegehren von 11'950'000 Franken für den Neubau des Verwaltungsgebäudes II in Frauenfeld;3;Obligatorisches Referendum;2005;Kreuzlingen;4646;Ermatingen;1689;910;24;2;884;382;502;53.88
05.06.2005;Beschluss des Grossen Rates über das Kreditbegehren von 11'950'000 Franken für den Neubau des Verwaltungsgebäudes II in Frauenfeld;3;Obligatorisches Referendum;2007;Steckborn;4806;Eschenz;1026;599;23;0;576;197;379;58.38
05.06.2005;Beschluss des Grossen Rates über das Kreditbegehren von 11'950'000 Franken für den Neubau des Verwaltungsgebäudes II in Frauenfeld;3;Obligatorisches Referendum;2006;Münchwilen;4724;Eschlikon;2406;1222;23;18;1181;648;533;50.79
