DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Südumfahrung Kreuzlinge"")";3;Obligatorisches Referendum;2004;Frauenfeld;4551;Aadorf;4968;2430;55;40;2335;986;1349;48.91
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Südumfahrung Kreuzlinge"")";3;Obligatorisches Referendum;2006;Münchwilen;4711;Affeltrangen;1465;794;8;2;784;304;480;54.2
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Südumfahrung Kreuzlinge"")";3;Obligatorisches Referendum;2005;Kreuzlingen;4641;Altnau;1194;818;0;15;803;218;585;68.51
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Südumfahrung Kreuzlinge"")";3;Obligatorisches Referendum;2008;Weinfelden;4881;Amlikon-Bissegg;838;503;4;7;492;218;274;60.02
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Südumfahrung Kreuzlinge"")";3;Obligatorisches Referendum;2002;Bischofszell;4461;Amriswil;6766;3987;37;148;3802;2042;1760;58.93
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Südumfahrung Kreuzlinge"")";3;Obligatorisches Referendum;2001;Arbon;4401;Arbon;7645;3777;46;176;3555;1851;1704;49.4
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Südumfahrung Kreuzlinge"")";3;Obligatorisches Referendum;2003;Diessenhofen;4536;Basadingen-Schlattingen;1091;693;28;1;664;228;436;63.52
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Südumfahrung Kreuzlinge"")";3;Obligatorisches Referendum;2008;Weinfelden;4891;Berg;1930;1281;13;17;1251;491;760;66.37
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Südumfahrung Kreuzlinge"")";3;Obligatorisches Referendum;2007;Steckborn;4801;Berlingen;549;340;0;0;340;128;212;61.93
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Südumfahrung Kreuzlinge"")";3;Obligatorisches Referendum;2006;Münchwilen;4716;Bettwiesen;628;339;5;1;333;128;205;53.98
