DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2004;Frauenfeld;4551;Aadorf;4968;2303;67;39;2197;918;1279;46.36
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2006;Münchwilen;4711;Affeltrangen;1465;794;13;2;779;371;408;54.2
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2005;Kreuzlingen;4641;Altnau;1194;818;3;15;800;342;458;68.51
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2008;Weinfelden;4881;Amlikon-Bissegg;838;502;3;8;491;199;292;59.9
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2002;Bischofszell;4461;Amriswil;6766;3999;26;149;3824;2279;1545;59.1
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2001;Arbon;4401;Arbon;7645;3763;52;171;3540;1910;1630;49.22
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2003;Diessenhofen;4536;Basadingen-Schlattingen;1091;688;29;1;658;254;404;63.06
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2008;Weinfelden;4891;Berg;1930;1283;6;17;1260;557;703;66.48
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2007;Steckborn;4801;Berlingen;549;340;4;0;336;135;201;61.93
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2006;Münchwilen;4716;Bettwiesen;628;338;5;1;332;137;195;53.82
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2006;Münchwilen;4721;Bichelsee-Balterswil;1717;975;13;4;958;336;622;56.79
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2008;Weinfelden;4901;Birwinken;872;603;1;3;599;208;391;69.15
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2002;Bischofszell;4471;Bischofszell;3378;1849;11;43;1795;816;979;54.74
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2005;Kreuzlingen;4643;Bottighofen;1251;957;4;12;941;549;392;76.5
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2006;Münchwilen;4723;Braunau;471;285;4;2;279;92;187;60.51
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2008;Weinfelden;4911;Bürglen;1913;1084;7;41;1036;727;309;56.66
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2008;Weinfelden;4921;Bussnang;1425;898;12;0;886;361;525;63.02
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2003;Diessenhofen;4545;Diessenhofen;1871;1109;35;0;1074;452;622;59.27
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2001;Arbon;4406;Dozwil;331;240;2;3;235;111;124;72.51
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2001;Arbon;4411;Egnach;2805;1827;20;26;1781;958;823;65.13
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2002;Bischofszell;4476;Erlen;1864;1187;4;43;1140;523;617;63.68
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2005;Kreuzlingen;4646;Ermatingen;1668;931;11;1;919;465;454;55.82
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2007;Steckborn;4806;Eschenz;1039;541;13;0;528;179;349;52.07
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2006;Münchwilen;4724;Eschlikon;2431;1362;23;27;1312;544;768;56.03
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2004;Frauenfeld;4561;Felben-Wellhausen;1483;734;8;11;715;351;364;49.49
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2006;Münchwilen;4726;Fischingen;1818;1049;19;18;1012;362;650;57.7
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2004;Frauenfeld;4566;Frauenfeld;14084;7820;205;102;7513;3543;3970;55.52
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2004;Frauenfeld;4571;Gachnang;2233;1141;27;3;1111;559;552;51.1
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2005;Kreuzlingen;4651;Gottlieben;172;104;2;0;102;54;48;60.47
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2005;Kreuzlingen;4656;Güttingen;883;625;5;16;604;279;325;70.78
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2002;Bischofszell;4486;Hauptwil-Gottshaus;1259;696;6;7;683;292;391;55.28
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2001;Arbon;4416;Hefenhofen;776;525;0;22;503;141;362;67.65
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2007;Steckborn;4811;Herdern;644;386;4;6;376;179;197;59.94
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2002;Bischofszell;4495;Hohentannen;386;235;3;3;229;82;147;60.88
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2007;Steckborn;4816;Homburg;1022;620;5;5;610;251;359;60.67
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2001;Arbon;4421;Horn;1546;794;4;24;766;447;319;51.36
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2004;Frauenfeld;4590;Hüttlingen;601;420;7;1;412;178;234;69.88
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2007;Steckborn;4821;Hüttwilen;986;601;18;12;571;253;318;60.95
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2005;Kreuzlingen;4666;Kemmental;1481;906;12;0;894;363;531;61.17
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2001;Arbon;4426;Kesswil;614;445;2;13;430;285;145;72.48
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2002;Bischofszell;4501;Kradolf-Schönenberg;1978;1168;11;11;1146;570;576;59.05
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2005;Kreuzlingen;4671;Kreuzlingen;8256;5012;72;153;4787;2848;1939;60.71
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2005;Kreuzlingen;4681;Langrickenbach;724;527;1;0;526;125;401;72.79
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2005;Kreuzlingen;4683;Lengwil;825;579;6;0;573;201;372;70.18
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2006;Münchwilen;4741;Lommis;687;381;2;2;377;160;217;55.46
25.09.2005;"Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes durch eine neue Kantonsstrasse (""Thurtalstrasse"")";3;Obligatorisches Referendum;2007;Steckborn;4826;Mammern;324;200;5;0;195;82;113;61.73
