DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
12.02.2006;Beschluss des Grossen Rates über das Kreditbegehren von 29'300'000 Franken betreffend Ergänzungsbauten für die Thurgauer Lehrerinnen- und Lehrerausbildung in Kreuzlingen;3;Obligatorisches Referendum;2004;Frauenfeld;4551;Aadorf;4986;845;8;14;823;561;262;16.95
12.02.2006;Beschluss des Grossen Rates über das Kreditbegehren von 29'300'000 Franken betreffend Ergänzungsbauten für die Thurgauer Lehrerinnen- und Lehrerausbildung in Kreuzlingen;3;Obligatorisches Referendum;2006;Münchwilen;4711;Affeltrangen;1483;395;10;0;385;223;162;26.64
12.02.2006;Beschluss des Grossen Rates über das Kreditbegehren von 29'300'000 Franken betreffend Ergänzungsbauten für die Thurgauer Lehrerinnen- und Lehrerausbildung in Kreuzlingen;3;Obligatorisches Referendum;2005;Kreuzlingen;4641;Altnau;1205;304;1;4;299;199;100;25.23
12.02.2006;Beschluss des Grossen Rates über das Kreditbegehren von 29'300'000 Franken betreffend Ergänzungsbauten für die Thurgauer Lehrerinnen- und Lehrerausbildung in Kreuzlingen;3;Obligatorisches Referendum;2008;Weinfelden;4881;Amlikon-Bissegg;852;262;4;2;256;145;111;30.75
12.02.2006;Beschluss des Grossen Rates über das Kreditbegehren von 29'300'000 Franken betreffend Ergänzungsbauten für die Thurgauer Lehrerinnen- und Lehrerausbildung in Kreuzlingen;3;Obligatorisches Referendum;2002;Bischofszell;4461;Amriswil;6855;1499;20;43;1436;955;481;21.87
12.02.2006;Beschluss des Grossen Rates über das Kreditbegehren von 29'300'000 Franken betreffend Ergänzungsbauten für die Thurgauer Lehrerinnen- und Lehrerausbildung in Kreuzlingen;3;Obligatorisches Referendum;2001;Arbon;4401;Arbon;7695;1531;47;39;1445;939;506;19.9
12.02.2006;Beschluss des Grossen Rates über das Kreditbegehren von 29'300'000 Franken betreffend Ergänzungsbauten für die Thurgauer Lehrerinnen- und Lehrerausbildung in Kreuzlingen;3;Obligatorisches Referendum;2003;Diessenhofen;4536;Basadingen-Schlattingen;1105;273;3;0;270;150;120;24.71
12.02.2006;Beschluss des Grossen Rates über das Kreditbegehren von 29'300'000 Franken betreffend Ergänzungsbauten für die Thurgauer Lehrerinnen- und Lehrerausbildung in Kreuzlingen;3;Obligatorisches Referendum;2008;Weinfelden;4891;Berg;2020;645;7;11;627;392;235;31.93
12.02.2006;Beschluss des Grossen Rates über das Kreditbegehren von 29'300'000 Franken betreffend Ergänzungsbauten für die Thurgauer Lehrerinnen- und Lehrerausbildung in Kreuzlingen;3;Obligatorisches Referendum;2007;Steckborn;4801;Berlingen;540;205;1;4;200;136;64;37.96
12.02.2006;Beschluss des Grossen Rates über das Kreditbegehren von 29'300'000 Franken betreffend Ergänzungsbauten für die Thurgauer Lehrerinnen- und Lehrerausbildung in Kreuzlingen;3;Obligatorisches Referendum;2006;Münchwilen;4716;Bettwiesen;648;141;1;0;140;88;52;21.76
12.02.2006;Beschluss des Grossen Rates über das Kreditbegehren von 29'300'000 Franken betreffend Ergänzungsbauten für die Thurgauer Lehrerinnen- und Lehrerausbildung in Kreuzlingen;3;Obligatorisches Referendum;2006;Münchwilen;4721;Bichelsee-Balterswil;1744;483;6;2;475;325;150;27.69
12.02.2006;Beschluss des Grossen Rates über das Kreditbegehren von 29'300'000 Franken betreffend Ergänzungsbauten für die Thurgauer Lehrerinnen- und Lehrerausbildung in Kreuzlingen;3;Obligatorisches Referendum;2008;Weinfelden;4901;Birwinken;860;262;5;0;257;164;93;30.47
12.02.2006;Beschluss des Grossen Rates über das Kreditbegehren von 29'300'000 Franken betreffend Ergänzungsbauten für die Thurgauer Lehrerinnen- und Lehrerausbildung in Kreuzlingen;3;Obligatorisches Referendum;2002;Bischofszell;4471;Bischofszell;3358;902;11;8;883;561;322;26.86
12.02.2006;Beschluss des Grossen Rates über das Kreditbegehren von 29'300'000 Franken betreffend Ergänzungsbauten für die Thurgauer Lehrerinnen- und Lehrerausbildung in Kreuzlingen;3;Obligatorisches Referendum;2005;Kreuzlingen;4643;Bottighofen;1253;439;2;0;437;293;144;35.04
12.02.2006;Beschluss des Grossen Rates über das Kreditbegehren von 29'300'000 Franken betreffend Ergänzungsbauten für die Thurgauer Lehrerinnen- und Lehrerausbildung in Kreuzlingen;3;Obligatorisches Referendum;2006;Münchwilen;4723;Braunau;472;233;14;0;219;129;90;49.36
12.02.2006;Beschluss des Grossen Rates über das Kreditbegehren von 29'300'000 Franken betreffend Ergänzungsbauten für die Thurgauer Lehrerinnen- und Lehrerausbildung in Kreuzlingen;3;Obligatorisches Referendum;2008;Weinfelden;4911;Bürglen;1927;478;12;19;447;242;205;24.81
12.02.2006;Beschluss des Grossen Rates über das Kreditbegehren von 29'300'000 Franken betreffend Ergänzungsbauten für die Thurgauer Lehrerinnen- und Lehrerausbildung in Kreuzlingen;3;Obligatorisches Referendum;2008;Weinfelden;4921;Bussnang;1405;484;7;2;475;270;205;34.45
12.02.2006;Beschluss des Grossen Rates über das Kreditbegehren von 29'300'000 Franken betreffend Ergänzungsbauten für die Thurgauer Lehrerinnen- und Lehrerausbildung in Kreuzlingen;3;Obligatorisches Referendum;2003;Diessenhofen;4545;Diessenhofen;1886;493;2;0;491;295;196;26.14
12.02.2006;Beschluss des Grossen Rates über das Kreditbegehren von 29'300'000 Franken betreffend Ergänzungsbauten für die Thurgauer Lehrerinnen- und Lehrerausbildung in Kreuzlingen;3;Obligatorisches Referendum;2001;Arbon;4406;Dozwil;338;113;5;0;108;65;43;33.43
12.02.2006;Beschluss des Grossen Rates über das Kreditbegehren von 29'300'000 Franken betreffend Ergänzungsbauten für die Thurgauer Lehrerinnen- und Lehrerausbildung in Kreuzlingen;3;Obligatorisches Referendum;2001;Arbon;4411;Egnach;2855;704;15;7;682;444;238;24.66
12.02.2006;Beschluss des Grossen Rates über das Kreditbegehren von 29'300'000 Franken betreffend Ergänzungsbauten für die Thurgauer Lehrerinnen- und Lehrerausbildung in Kreuzlingen;3;Obligatorisches Referendum;2002;Bischofszell;4476;Erlen;1882;485;4;10;471;295;176;25.77
12.02.2006;Beschluss des Grossen Rates über das Kreditbegehren von 29'300'000 Franken betreffend Ergänzungsbauten für die Thurgauer Lehrerinnen- und Lehrerausbildung in Kreuzlingen;3;Obligatorisches Referendum;2005;Kreuzlingen;4646;Ermatingen;1682;418;6;0;412;278;134;24.85
12.02.2006;Beschluss des Grossen Rates über das Kreditbegehren von 29'300'000 Franken betreffend Ergänzungsbauten für die Thurgauer Lehrerinnen- und Lehrerausbildung in Kreuzlingen;3;Obligatorisches Referendum;2007;Steckborn;4806;Eschenz;1075;236;2;0;234;149;85;21.95
12.02.2006;Beschluss des Grossen Rates über das Kreditbegehren von 29'300'000 Franken betreffend Ergänzungsbauten für die Thurgauer Lehrerinnen- und Lehrerausbildung in Kreuzlingen;3;Obligatorisches Referendum;2006;Münchwilen;4724;Eschlikon;2464;517;6;11;500;324;176;20.98
12.02.2006;Beschluss des Grossen Rates über das Kreditbegehren von 29'300'000 Franken betreffend Ergänzungsbauten für die Thurgauer Lehrerinnen- und Lehrerausbildung in Kreuzlingen;3;Obligatorisches Referendum;2004;Frauenfeld;4561;Felben-Wellhausen;1502;293;1;3;289;194;95;19.51
12.02.2006;Beschluss des Grossen Rates über das Kreditbegehren von 29'300'000 Franken betreffend Ergänzungsbauten für die Thurgauer Lehrerinnen- und Lehrerausbildung in Kreuzlingen;3;Obligatorisches Referendum;2006;Münchwilen;4726;Fischingen;1827;464;5;9;450;286;164;25.4
12.02.2006;Beschluss des Grossen Rates über das Kreditbegehren von 29'300'000 Franken betreffend Ergänzungsbauten für die Thurgauer Lehrerinnen- und Lehrerausbildung in Kreuzlingen;3;Obligatorisches Referendum;2004;Frauenfeld;4566;Frauenfeld;14098;3884;67;28;3789;2357;1432;27.55
12.02.2006;Beschluss des Grossen Rates über das Kreditbegehren von 29'300'000 Franken betreffend Ergänzungsbauten für die Thurgauer Lehrerinnen- und Lehrerausbildung in Kreuzlingen;3;Obligatorisches Referendum;2004;Frauenfeld;4571;Gachnang;2242;497;5;1;491;318;173;22.17
