DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
12.02.2006;Beschluss des Grossen Rates über den Zusatzkredit von 2'8000'000 Franken für eine Holzschnitzelfeuerungsanlage mit Wärmeverbund;4;Fakultatives Referendum;2004;Frauenfeld;4551;Aadorf;4986;840;14;14;812;602;210;16.85
12.02.2006;Beschluss des Grossen Rates über den Zusatzkredit von 2'8000'000 Franken für eine Holzschnitzelfeuerungsanlage mit Wärmeverbund;4;Fakultatives Referendum;2006;Münchwilen;4711;Affeltrangen;1483;391;11;0;380;250;130;26.37
12.02.2006;Beschluss des Grossen Rates über den Zusatzkredit von 2'8000'000 Franken für eine Holzschnitzelfeuerungsanlage mit Wärmeverbund;4;Fakultatives Referendum;2005;Kreuzlingen;4641;Altnau;1205;303;2;4;297;219;78;25.15
12.02.2006;Beschluss des Grossen Rates über den Zusatzkredit von 2'8000'000 Franken für eine Holzschnitzelfeuerungsanlage mit Wärmeverbund;4;Fakultatives Referendum;2008;Weinfelden;4881;Amlikon-Bissegg;852;262;1;2;259;173;86;30.75
12.02.2006;Beschluss des Grossen Rates über den Zusatzkredit von 2'8000'000 Franken für eine Holzschnitzelfeuerungsanlage mit Wärmeverbund;4;Fakultatives Referendum;2002;Bischofszell;4461;Amriswil;6855;1491;25;43;1423;1020;403;21.75
12.02.2006;Beschluss des Grossen Rates über den Zusatzkredit von 2'8000'000 Franken für eine Holzschnitzelfeuerungsanlage mit Wärmeverbund;4;Fakultatives Referendum;2001;Arbon;4401;Arbon;7695;1491;57;40;1394;866;528;19.38
12.02.2006;Beschluss des Grossen Rates über den Zusatzkredit von 2'8000'000 Franken für eine Holzschnitzelfeuerungsanlage mit Wärmeverbund;4;Fakultatives Referendum;2003;Diessenhofen;4536;Basadingen-Schlattingen;1105;270;3;0;267;190;77;24.43
12.02.2006;Beschluss des Grossen Rates über den Zusatzkredit von 2'8000'000 Franken für eine Holzschnitzelfeuerungsanlage mit Wärmeverbund;4;Fakultatives Referendum;2008;Weinfelden;4891;Berg;2020;640;15;11;614;394;220;31.68
12.02.2006;Beschluss des Grossen Rates über den Zusatzkredit von 2'8000'000 Franken für eine Holzschnitzelfeuerungsanlage mit Wärmeverbund;4;Fakultatives Referendum;2007;Steckborn;4801;Berlingen;540;208;2;4;202;129;73;38.52
12.02.2006;Beschluss des Grossen Rates über den Zusatzkredit von 2'8000'000 Franken für eine Holzschnitzelfeuerungsanlage mit Wärmeverbund;4;Fakultatives Referendum;2006;Münchwilen;4716;Bettwiesen;648;141;1;0;140;98;42;21.76
