DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
21.05.2006;"Volksinitiative ""Nur eine Fremdsprache an der Primarschule""";1;Volksinitiative;2004;Frauenfeld;4551;Aadorf;4943;1414;16;9;1389;655;734;28.61
21.05.2006;"Volksinitiative ""Nur eine Fremdsprache an der Primarschule""";1;Volksinitiative;2006;Münchwilen;4711;Affeltrangen;1489;486;7;0;479;262;217;32.64
21.05.2006;"Volksinitiative ""Nur eine Fremdsprache an der Primarschule""";1;Volksinitiative;2005;Kreuzlingen;4641;Altnau;1196;383;9;6;368;179;189;32.02
21.05.2006;"Volksinitiative ""Nur eine Fremdsprache an der Primarschule""";1;Volksinitiative;2008;Weinfelden;4881;Amlikon-Bissegg;862;311;2;6;303;170;133;36.08
21.05.2006;"Volksinitiative ""Nur eine Fremdsprache an der Primarschule""";1;Volksinitiative;2002;Bischofszell;4461;Amriswil;6860;1760;28;41;1691;829;862;25.66
21.05.2006;"Volksinitiative ""Nur eine Fremdsprache an der Primarschule""";1;Volksinitiative;2001;Arbon;4401;Arbon;7697;2080;25;55;2000;956;1044;27.02
21.05.2006;"Volksinitiative ""Nur eine Fremdsprache an der Primarschule""";1;Volksinitiative;2003;Diessenhofen;4536;Basadingen-Schlattingen;1109;365;9;6;350;181;169;32.91
21.05.2006;"Volksinitiative ""Nur eine Fremdsprache an der Primarschule""";1;Volksinitiative;2008;Weinfelden;4891;Berg;2018;690;5;9;676;388;288;34.19
21.05.2006;"Volksinitiative ""Nur eine Fremdsprache an der Primarschule""";1;Volksinitiative;2007;Steckborn;4801;Berlingen;541;213;3;2;208;90;118;39.37
21.05.2006;"Volksinitiative ""Nur eine Fremdsprache an der Primarschule""";1;Volksinitiative;2006;Münchwilen;4716;Bettwiesen;656;210;1;0;209;102;107;32.01
21.05.2006;"Volksinitiative ""Nur eine Fremdsprache an der Primarschule""";1;Volksinitiative;2006;Münchwilen;4721;Bichelsee-Balterswil;1772;531;9;2;520;253;267;29.97
21.05.2006;"Volksinitiative ""Nur eine Fremdsprache an der Primarschule""";1;Volksinitiative;2008;Weinfelden;4901;Birwinken;864;300;3;2;295;148;147;34.72
21.05.2006;"Volksinitiative ""Nur eine Fremdsprache an der Primarschule""";1;Volksinitiative;2002;Bischofszell;4471;Bischofszell;3382;1015;10;12;993;460;533;30.01
21.05.2006;"Volksinitiative ""Nur eine Fremdsprache an der Primarschule""";1;Volksinitiative;2005;Kreuzlingen;4643;Bottighofen;1249;441;5;1;435;153;282;35.31
21.05.2006;"Volksinitiative ""Nur eine Fremdsprache an der Primarschule""";1;Volksinitiative;2006;Münchwilen;4723;Braunau;471;176;4;1;171;102;69;37.37
21.05.2006;"Volksinitiative ""Nur eine Fremdsprache an der Primarschule""";1;Volksinitiative;2008;Weinfelden;4911;Bürglen;1922;527;9;11;507;256;251;27.42
