DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2004;Frauenfeld;4551;Aadorf;4943;1418;11;9;1398;488;910;28.69
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2006;Münchwilen;4711;Affeltrangen;1489;487;5;0;482;174;308;32.71
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2005;Kreuzlingen;4641;Altnau;1196;385;2;6;377;167;210;32.19
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2008;Weinfelden;4881;Amlikon-Bissegg;862;310;2;6;302;104;198;35.96
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2002;Bischofszell;4461;Amriswil;6860;1767;17;41;1709;612;1097;25.76
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2001;Arbon;4401;Arbon;7697;2082;17;55;2010;763;1247;27.05
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2003;Diessenhofen;4536;Basadingen-Schlattingen;1109;367;4;6;357;145;212;33.09
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2008;Weinfelden;4891;Berg;2018;693;4;9;680;206;474;34.34
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2007;Steckborn;4801;Berlingen;541;212;0;2;210;95;115;39.19
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2006;Münchwilen;4716;Bettwiesen;656;207;1;0;206;75;131;31.55
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2006;Münchwilen;4721;Bichelsee-Balterswil;1772;531;4;1;526;189;337;29.97
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2008;Weinfelden;4901;Birwinken;864;303;4;2;297;106;191;35.07
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2002;Bischofszell;4471;Bischofszell;3382;1016;8;11;997;313;684;30.04
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2005;Kreuzlingen;4643;Bottighofen;1249;444;8;1;435;227;208;35.55
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2006;Münchwilen;4723;Braunau;471;176;1;1;174;61;113;37.37
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2008;Weinfelden;4911;Bürglen;1922;531;3;11;517;157;360;27.63
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2008;Weinfelden;4921;Bussnang;1407;567;5;0;562;145;417;40.3
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2003;Diessenhofen;4545;Diessenhofen;1887;601;7;0;594;262;332;31.85
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2001;Arbon;4406;Dozwil;347;138;0;0;138;40;98;39.77
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2001;Arbon;4411;Egnach;2870;902;11;18;873;382;491;31.43
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2002;Bischofszell;4476;Erlen;1910;535;4;12;519;167;352;28.01
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2005;Kreuzlingen;4646;Ermatingen;1674;539;4;0;535;268;267;32.2
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2007;Steckborn;4806;Eschenz;1082;360;3;0;357;125;232;33.27
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2006;Münchwilen;4724;Eschlikon;2483;761;5;15;741;353;388;30.65
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2004;Frauenfeld;4561;Felben-Wellhausen;1514;431;1;6;424;169;255;28.47
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2006;Münchwilen;4726;Fischingen;1829;624;4;8;612;184;428;34.12
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2004;Frauenfeld;4566;Frauenfeld;14107;5389;59;33;5297;2333;2964;38.2
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2004;Frauenfeld;4571;Gachnang;2243;816;4;3;809;344;465;36.38
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2005;Kreuzlingen;4651;Gottlieben;187;77;0;0;77;44;33;41.18
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2005;Kreuzlingen;4656;Güttingen;892;306;1;2;303;112;191;34.3
21.05.2006;Gesetz betreffend die Änderung des Gesetzes über die Ladenöffnungszeiten;4;Fakultatives Referendum;2002;Bischofszell;4486;Hauptwil-Gottshaus;1262;315;0;1;314;109;205;24.96
