DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
25.11.2007;Gesetz betreffend die Änderung des Gesetzes über Kantons- und Gemeindebürgerrecht;4;Fakultatives Referendum;2004;Frauenfeld;4551;Aadorf;5181;1326;53;2;1271;600;671;25.59
25.11.2007;Gesetz betreffend die Änderung des Gesetzes über Kantons- und Gemeindebürgerrecht;4;Fakultatives Referendum;2006;Münchwilen;4711;Affeltrangen;1532;479;8;1;470;159;311;31.27
25.11.2007;Gesetz betreffend die Änderung des Gesetzes über Kantons- und Gemeindebürgerrecht;4;Fakultatives Referendum;2005;Kreuzlingen;4641;Altnau;1219;312;9;7;296;152;144;25.59
25.11.2007;Gesetz betreffend die Änderung des Gesetzes über Kantons- und Gemeindebürgerrecht;4;Fakultatives Referendum;2008;Weinfelden;4881;Amlikon-Bissegg;885;276;4;0;272;71;201;31.19
25.11.2007;Gesetz betreffend die Änderung des Gesetzes über Kantons- und Gemeindebürgerrecht;4;Fakultatives Referendum;2002;Bischofszell;4461;Amriswil;6892;1736;23;33;1680;723;957;25.19
25.11.2007;Gesetz betreffend die Änderung des Gesetzes über Kantons- und Gemeindebürgerrecht;4;Fakultatives Referendum;2001;Arbon;4401;Arbon;7842;1527;12;32;1483;816;667;19.47
25.11.2007;Gesetz betreffend die Änderung des Gesetzes über Kantons- und Gemeindebürgerrecht;4;Fakultatives Referendum;2003;Diessenhofen;4536;Basadingen-Schlattingen;1117;326;4;1;321;102;219;29.19
25.11.2007;Gesetz betreffend die Änderung des Gesetzes über Kantons- und Gemeindebürgerrecht;4;Fakultatives Referendum;2008;Weinfelden;4891;Berg;2068;597;5;3;589;204;385;28.87
25.11.2007;Gesetz betreffend die Änderung des Gesetzes über Kantons- und Gemeindebürgerrecht;4;Fakultatives Referendum;2007;Steckborn;4801;Berlingen;549;199;0;2;197;86;111;36.25
25.11.2007;Gesetz betreffend die Änderung des Gesetzes über Kantons- und Gemeindebürgerrecht;4;Fakultatives Referendum;2006;Münchwilen;4716;Bettwiesen;657;156;1;0;155;65;90;23.74
25.11.2007;Gesetz betreffend die Änderung des Gesetzes über Kantons- und Gemeindebürgerrecht;4;Fakultatives Referendum;2006;Münchwilen;4721;Bichelsee-Balterswil;1765;423;7;9;407;183;224;23.97
25.11.2007;Gesetz betreffend die Änderung des Gesetzes über Kantons- und Gemeindebürgerrecht;4;Fakultatives Referendum;2008;Weinfelden;4901;Birwinken;850;273;5;2;266;92;174;32.12
25.11.2007;Gesetz betreffend die Änderung des Gesetzes über Kantons- und Gemeindebürgerrecht;4;Fakultatives Referendum;2002;Bischofszell;4471;Bischofszell;3428;953;34;9;910;450;460;27.8
25.11.2007;Gesetz betreffend die Änderung des Gesetzes über Kantons- und Gemeindebürgerrecht;4;Fakultatives Referendum;2005;Kreuzlingen;4643;Bottighofen;1280;427;7;4;416;224;192;33.36
25.11.2007;Gesetz betreffend die Änderung des Gesetzes über Kantons- und Gemeindebürgerrecht;4;Fakultatives Referendum;2006;Münchwilen;4723;Braunau;460;140;4;3;133;54;79;30.43
25.11.2007;Gesetz betreffend die Änderung des Gesetzes über Kantons- und Gemeindebürgerrecht;4;Fakultatives Referendum;2008;Weinfelden;4911;Bürglen;1926;487;7;12;468;104;364;25.29
