DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
25.11.2007;Beschluss des Grossen Rates über das Kreditbegehren von 19'700'000 Franken für die Umnutzung des kantonalen Zeughauses zum Staatsarchiv des Kantons;3;Obligatorisches Referendum;2004;Frauenfeld;4551;Aadorf;5181;1303;34;3;1266;1019;247;25.15
25.11.2007;Beschluss des Grossen Rates über das Kreditbegehren von 19'700'000 Franken für die Umnutzung des kantonalen Zeughauses zum Staatsarchiv des Kantons;3;Obligatorisches Referendum;2006;Münchwilen;4711;Affeltrangen;1532;477;4;1;472;344;128;31.14
25.11.2007;Beschluss des Grossen Rates über das Kreditbegehren von 19'700'000 Franken für die Umnutzung des kantonalen Zeughauses zum Staatsarchiv des Kantons;3;Obligatorisches Referendum;2005;Kreuzlingen;4641;Altnau;1219;311;5;7;299;235;64;25.51
25.11.2007;Beschluss des Grossen Rates über das Kreditbegehren von 19'700'000 Franken für die Umnutzung des kantonalen Zeughauses zum Staatsarchiv des Kantons;3;Obligatorisches Referendum;2008;Weinfelden;4881;Amlikon-Bissegg;885;272;2;0;270;194;76;30.73
25.11.2007;Beschluss des Grossen Rates über das Kreditbegehren von 19'700'000 Franken für die Umnutzung des kantonalen Zeughauses zum Staatsarchiv des Kantons;3;Obligatorisches Referendum;2002;Bischofszell;4461;Amriswil;6892;1729;22;34;1673;1194;479;25.09
25.11.2007;Beschluss des Grossen Rates über das Kreditbegehren von 19'700'000 Franken für die Umnutzung des kantonalen Zeughauses zum Staatsarchiv des Kantons;3;Obligatorisches Referendum;2001;Arbon;4401;Arbon;7842;1522;12;30;1480;1047;433;19.41
25.11.2007;Beschluss des Grossen Rates über das Kreditbegehren von 19'700'000 Franken für die Umnutzung des kantonalen Zeughauses zum Staatsarchiv des Kantons;3;Obligatorisches Referendum;2003;Diessenhofen;4536;Basadingen-Schlattingen;1117;328;6;1;321;227;94;29.36
25.11.2007;Beschluss des Grossen Rates über das Kreditbegehren von 19'700'000 Franken für die Umnutzung des kantonalen Zeughauses zum Staatsarchiv des Kantons;3;Obligatorisches Referendum;2008;Weinfelden;4891;Berg;2068;593;6;3;584;421;163;28.68
25.11.2007;Beschluss des Grossen Rates über das Kreditbegehren von 19'700'000 Franken für die Umnutzung des kantonalen Zeughauses zum Staatsarchiv des Kantons;3;Obligatorisches Referendum;2007;Steckborn;4801;Berlingen;549;198;2;2;194;144;50;36.07
25.11.2007;Beschluss des Grossen Rates über das Kreditbegehren von 19'700'000 Franken für die Umnutzung des kantonalen Zeughauses zum Staatsarchiv des Kantons;3;Obligatorisches Referendum;2006;Münchwilen;4716;Bettwiesen;657;156;0;0;156;104;52;23.74
