DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2004;Frauenfeld;4551;Aadorf;5332;2339;42;70;2227;1049;1178;43.87
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2006;Münchwilen;4711;Affeltrangen;1547;711;15;11;685;268;417;45.96
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2005;Kreuzlingen;4641;Altnau;1255;546;7;0;539;266;273;43.51
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2008;Weinfelden;4881;Amlikon-Bissegg;889;416;2;1;413;165;248;46.79
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2002;Bischofszell;4461;Amriswil;6966;2949;41;57;2851;1343;1508;42.33
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2001;Arbon;4401;Arbon;7872;3428;82;90;3256;1801;1455;43.55
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2003;Diessenhofen;4536;Basadingen-Schlattingen;1145;566;15;9;542;243;299;49.43
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2008;Weinfelden;4891;Berg;2057;902;14;18;870;388;482;43.85
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2007;Steckborn;4801;Berlingen;561;259;4;2;253;141;112;46.17
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2006;Münchwilen;4716;Bettwiesen;680;285;0;2;283;147;136;41.91
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2006;Münchwilen;4721;Bichelsee-Balterswil;1788;787;8;12;767;354;413;44.02
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2008;Weinfelden;4901;Birwinken;886;392;6;6;380;131;249;44.24
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2002;Bischofszell;4471;Bischofszell;3401;1437;18;20;1399;658;741;42.25
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2005;Kreuzlingen;4643;Bottighofen;1282;685;13;9;663;375;288;53.43
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2006;Münchwilen;4723;Braunau;460;275;2;6;267;115;152;59.78
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2008;Weinfelden;4911;Bürglen;1972;732;9;12;711;335;376;37.12
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2008;Weinfelden;4921;Bussnang;1461;676;7;0;669;266;403;46.27
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2003;Diessenhofen;4545;Diessenhofen;1899;896;21;0;875;469;406;47.18
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2001;Arbon;4406;Dozwil;374;230;2;2;226;71;155;61.5
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2001;Arbon;4411;Egnach;2898;1367;31;26;1310;635;675;47.17
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2002;Bischofszell;4476;Erlen;1958;828;13;30;785;348;437;42.29
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2005;Kreuzlingen;4646;Ermatingen;1766;772;6;0;766;366;400;43.71
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2007;Steckborn;4806;Eschenz;1115;525;9;0;516;230;286;47.09
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2006;Münchwilen;4724;Eschlikon;2618;1190;17;18;1155;578;577;45.45
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2004;Frauenfeld;4561;Felben-Wellhausen;1537;609;12;7;590;269;321;39.62
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2006;Münchwilen;4726;Fischingen;1882;872;10;17;845;368;477;46.33
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2004;Frauenfeld;4566;Frauenfeld;14629;6906;162;3;6741;3667;3074;47.21
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2004;Frauenfeld;4571;Gachnang;2299;1081;20;1;1060;522;538;47.02
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2005;Kreuzlingen;4651;Gottlieben;180;100;4;1;95;54;41;55.56
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2005;Kreuzlingen;4656;Güttingen;916;501;3;9;489;221;268;54.69
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2002;Bischofszell;4486;Hauptwil-Gottshaus;1233;485;3;8;474;203;271;39.33
30.11.2008;Beschluss des Grossen Rates betreffend den Beitritt des Kantons Thurgau zur interkantonalen Vereinbarung über die Harmonisierung der obligatorischen Schule;4;Fakultatives Referendum;2001;Arbon;4416;Hefenhofen;815;369;10;18;341;147;194;45.28
