DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
08.02.2009;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;2004;Frauenfeld;4551;Aadorf;5330;2282;83;67;2132;1683;449;42.81
08.02.2009;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;2006;Münchwilen;4711;Affeltrangen;1552;798;26;13;759;511;248;51.42
08.02.2009;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;2005;Kreuzlingen;4641;Altnau;1258;598;11;0;587;459;128;47.54
08.02.2009;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;2008;Weinfelden;4881;Amlikon-Bissegg;899;446;7;2;437;303;134;49.61
08.02.2009;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;2002;Bischofszell;4461;Amriswil;6975;3319;93;92;3134;2455;679;47.58
08.02.2009;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;2001;Arbon;4401;Arbon;7927;3011;120;54;2837;2213;624;37.98
08.02.2009;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;2003;Diessenhofen;4536;Basadingen-Schlattingen;1140;676;60;5;611;430;181;59.3
08.02.2009;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;2008;Weinfelden;4891;Berg;2056;985;18;23;944;732;212;47.91
08.02.2009;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;2007;Steckborn;4801;Berlingen;559;260;11;7;242;179;63;46.51
08.02.2009;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;2006;Münchwilen;4716;Bettwiesen;687;321;3;1;317;223;94;46.72
08.02.2009;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;2006;Münchwilen;4721;Bichelsee-Balterswil;1797;836;27;22;787;588;199;46.52
08.02.2009;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;2008;Weinfelden;4901;Birwinken;886;422;7;5;410;267;143;47.63
08.02.2009;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;2002;Bischofszell;4471;Bischofszell;3409;1571;36;20;1515;1144;371;46.08
08.02.2009;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;2005;Kreuzlingen;4643;Bottighofen;1267;674;18;7;649;553;96;53.2
08.02.2009;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;2006;Münchwilen;4723;Braunau;462;248;6;1;241;157;84;53.68
08.02.2009;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;2008;Weinfelden;4911;Bürglen;1993;819;22;20;777;550;227;41.09
08.02.2009;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;2008;Weinfelden;4921;Bussnang;1470;702;14;0;688;467;221;47.76
08.02.2009;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;2003;Diessenhofen;4545;Diessenhofen;1929;1078;57;0;1021;821;200;55.88
08.02.2009;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;2001;Arbon;4406;Dozwil;377;209;7;0;202;134;68;55.44
08.02.2009;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;2001;Arbon;4411;Egnach;2878;1381;34;21;1326;1027;299;47.98
08.02.2009;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;2002;Bischofszell;4476;Erlen;1963;829;18;20;791;602;189;42.23
08.02.2009;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;2005;Kreuzlingen;4646;Ermatingen;1779;877;29;0;848;630;218;49.3
08.02.2009;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;2007;Steckborn;4806;Eschenz;1112;545;16;0;529;395;134;49.01
08.02.2009;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;2006;Münchwilen;4724;Eschlikon;2623;1209;30;30;1149;890;259;46.09
08.02.2009;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;2004;Frauenfeld;4561;Felben-Wellhausen;1549;598;28;7;563;424;139;38.61
08.02.2009;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;2006;Münchwilen;4726;Fischingen;1877;894;21;9;864;615;249;47.63
08.02.2009;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau;3;Obligatorisches Referendum;2004;Frauenfeld;4566;Frauenfeld;14607;6723;268;54;6401;5089;1312;46.03
