DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2004;Frauenfeld;4551;Aadorf;5390;2154;185;73;2052;1094;773;39.96
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2006;Münchwilen;4711;Affeltrangen;1549;737;99;15;717;364;254;47.58
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2005;Kreuzlingen;4641;Altnau;1254;507;63;2;505;237;205;40.43
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2008;Weinfelden;4881;Amlikon-Bissegg;896;399;43;6;391;178;170;44.53
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2002;Bischofszell;4461;Amriswil;6982;2624;358;74;2535;1211;966;37.58
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2001;Arbon;4401;Arbon;7960;2714;370;75;2616;1225;1021;34.1
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2003;Diessenhofen;4536;Basadingen-Schlattingen;1145;406;46;12;387;151;190;35.46
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2008;Weinfelden;4891;Berg;2065;849;110;5;841;394;337;41.11
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2007;Steckborn;4801;Berlingen;555;293;29;5;288;143;116;52.79
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2006;Münchwilen;4716;Bettwiesen;685;282;34;0;281;127;120;41.17
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2006;Münchwilen;4721;Bichelsee-Balterswil;1791;799;99;11;786;422;265;44.61
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2008;Weinfelden;4901;Birwinken;895;368;38;6;361;166;157;41.12
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2002;Bischofszell;4471;Bischofszell;3405;1300;172;24;1271;555;544;38.18
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2005;Kreuzlingen;4643;Bottighofen;1271;678;86;16;661;313;262;53.34
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2006;Münchwilen;4723;Braunau;468;199;32;2;196;84;80;42.52
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2008;Weinfelden;4911;Bürglen;2002;790;75;14;774;388;311;39.46
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2008;Weinfelden;4921;Bussnang;1468;665;75;8;657;295;287;45.3
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2003;Diessenhofen;4545;Diessenhofen;1944;812;105;5;794;368;321;41.77
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2001;Arbon;4406;Dozwil;373;205;34;4;199;85;80;54.96
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2001;Arbon;4411;Egnach;2888;1203;162;30;1161;481;518;41.66
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2002;Bischofszell;4476;Erlen;1976;683;96;15;663;300;267;34.56
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2005;Kreuzlingen;4646;Ermatingen;1766;729;78;8;719;401;240;41.28
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2007;Steckborn;4806;Eschenz;1126;428;52;0;427;201;174;38.01
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2006;Münchwilen;4724;Eschlikon;2643;1147;136;34;1107;553;418;43.4
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2004;Frauenfeld;4561;Felben-Wellhausen;1562;602;67;19;582;293;222;38.54
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2006;Münchwilen;4726;Fischingen;1872;827;86;9;811;458;267;44.18
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2004;Frauenfeld;4566;Frauenfeld;14641;6733;750;181;6503;3035;2718;45.99
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2004;Frauenfeld;4571;Gachnang;2315;927;128;14;910;430;352;40.04
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2005;Kreuzlingen;4651;Gottlieben;180;97;13;2;95;48;34;53.89
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2005;Kreuzlingen;4656;Güttingen;927;468;51;7;456;233;172;50.49
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2002;Bischofszell;4486;Hauptwil-Gottshaus;1217;400;54;5;389;176;159;32.87
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2001;Arbon;4416;Hefenhofen;810;337;33;19;316;171;112;41.6
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2007;Steckborn;4811;Herdern;669;325;25;11;313;141;147;48.58
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2002;Bischofszell;4495;Hohentannen;404;154;19;0;153;74;60;38.12
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2007;Steckborn;4816;Homburg;1058;431;49;1;426;238;139;40.74
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2001;Arbon;4421;Horn;1731;658;103;11;645;301;241;38.01
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2004;Frauenfeld;4590;Hüttlingen;607;304;43;7;295;146;106;50.08
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2007;Steckborn;4821;Hüttwilen;1035;549;59;3;537;280;198;53.04
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2005;Kreuzlingen;4666;Kemmental;1516;702;78;9;689;363;248;46.31
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2001;Arbon;4426;Kesswil;650;316;52;4;311;150;109;48.62
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2002;Bischofszell;4501;Kradolf-Schönenberg;2081;883;103;14;868;477;288;42.43
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2005;Kreuzlingen;4671;Kreuzlingen;8210;4017;567;162;3819;1991;1261;48.93
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2005;Kreuzlingen;4681;Langrickenbach;751;339;23;1;335;188;124;45.14
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2005;Kreuzlingen;4683;Lengwil;841;360;49;2;357;204;104;42.81
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2006;Münchwilen;4741;Lommis;730;303;33;6;296;144;119;41.51
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2007;Steckborn;4826;Mammern;340;175;19;3;172;83;70;51.47
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2008;Weinfelden;4941;Märstetten;1650;731;76;15;716;334;306;44.3
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2004;Frauenfeld;4591;Matzingen;1555;504;51;3;498;214;233;32.41
17.05.2009;"Gegenvorschlag des Grossen Rates zur Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2007;Steckborn;4831;Müllheim;1722;649;51;25;619;342;226;37.69
