DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
17.05.2009;"Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2004;Frauenfeld;4551;Aadorf;5390;2154;29;73;2052;819;1071;39.96
17.05.2009;"Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2006;Münchwilen;4711;Affeltrangen;1549;737;5;15;717;296;350;47.58
17.05.2009;"Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2005;Kreuzlingen;4641;Altnau;1254;507;0;2;505;228;231;40.43
17.05.2009;"Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2008;Weinfelden;4881;Amlikon-Bissegg;896;399;2;6;391;164;195;44.53
17.05.2009;"Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2002;Bischofszell;4461;Amriswil;6982;2624;15;74;2535;1038;1275;37.58
17.05.2009;"Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2001;Arbon;4401;Arbon;7960;2714;23;75;2616;1109;1177;34.1
17.05.2009;"Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2003;Diessenhofen;4536;Basadingen-Schlattingen;1145;406;7;12;387;174;176;35.46
17.05.2009;"Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2008;Weinfelden;4891;Berg;2065;849;3;5;841;345;442;41.11
17.05.2009;"Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2007;Steckborn;4801;Berlingen;555;293;0;5;288;100;150;52.79
17.05.2009;"Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2006;Münchwilen;4716;Bettwiesen;685;282;1;0;281;118;146;41.17
17.05.2009;"Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2006;Münchwilen;4721;Bichelsee-Balterswil;1791;799;2;11;786;296;428;44.61
17.05.2009;"Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2008;Weinfelden;4901;Birwinken;895;368;1;6;361;140;189;41.12
17.05.2009;"Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2002;Bischofszell;4471;Bischofszell;3405;1300;5;24;1271;550;606;38.18
17.05.2009;"Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2005;Kreuzlingen;4643;Bottighofen;1271;678;1;16;661;297;303;53.34
17.05.2009;"Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2006;Münchwilen;4723;Braunau;468;199;1;2;196;78;101;42.52
17.05.2009;"Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2008;Weinfelden;4911;Bürglen;2002;790;2;14;774;270;438;39.46
17.05.2009;"Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2008;Weinfelden;4921;Bussnang;1468;665;0;8;657;288;322;45.3
17.05.2009;"Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2003;Diessenhofen;4545;Diessenhofen;1944;812;13;5;794;311;410;41.77
17.05.2009;"Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2001;Arbon;4406;Dozwil;373;205;2;4;199;110;81;54.96
17.05.2009;"Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2001;Arbon;4411;Egnach;2888;1203;12;30;1161;532;535;41.66
17.05.2009;"Volksinitiative ""Schutz vor Passivrauchen""";2;Volksinitiative mit Gegenvorschlag;2002;Bischofszell;4476;Erlen;1976;683;5;15;663;282;321;34.56
