DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
27.09.2009;Gesetz betreffend die Änderung des Einführungsgesetzes zum Schweizer Zivilgesetzbuch;4;Fakultatives Referendum;2004;Frauenfeld;4551;Aadorf;5456;1996;69;74;1853;879;974;36.58
27.09.2009;Gesetz betreffend die Änderung des Einführungsgesetzes zum Schweizer Zivilgesetzbuch;4;Fakultatives Referendum;2006;Münchwilen;4711;Affeltrangen;1537;606;10;0;596;273;323;39.43
27.09.2009;Gesetz betreffend die Änderung des Einführungsgesetzes zum Schweizer Zivilgesetzbuch;4;Fakultatives Referendum;2005;Kreuzlingen;4641;Altnau;1258;474;11;0;463;201;262;37.68
27.09.2009;Gesetz betreffend die Änderung des Einführungsgesetzes zum Schweizer Zivilgesetzbuch;4;Fakultatives Referendum;2008;Weinfelden;4881;Amlikon-Bissegg;917;388;7;7;374;197;177;42.31
27.09.2009;Gesetz betreffend die Änderung des Einführungsgesetzes zum Schweizer Zivilgesetzbuch;4;Fakultatives Referendum;2002;Bischofszell;4461;Amriswil;7014;2490;77;31;2382;903;1479;35.5
27.09.2009;Gesetz betreffend die Änderung des Einführungsgesetzes zum Schweizer Zivilgesetzbuch;4;Fakultatives Referendum;2001;Arbon;4401;Arbon;7934;2983;117;60;2806;1221;1585;37.6
27.09.2009;Gesetz betreffend die Änderung des Einführungsgesetzes zum Schweizer Zivilgesetzbuch;4;Fakultatives Referendum;2003;Diessenhofen;4536;Basadingen-Schlattingen;1157;475;19;3;453;162;291;41.05
27.09.2009;Gesetz betreffend die Änderung des Einführungsgesetzes zum Schweizer Zivilgesetzbuch;4;Fakultatives Referendum;2008;Weinfelden;4891;Berg;2077;816;17;13;786;386;400;39.29
27.09.2009;Gesetz betreffend die Änderung des Einführungsgesetzes zum Schweizer Zivilgesetzbuch;4;Fakultatives Referendum;2007;Steckborn;4801;Berlingen;566;278;3;4;271;108;163;49.12
27.09.2009;Gesetz betreffend die Änderung des Einführungsgesetzes zum Schweizer Zivilgesetzbuch;4;Fakultatives Referendum;2006;Münchwilen;4716;Bettwiesen;686;255;6;0;249;114;135;37.17
27.09.2009;Gesetz betreffend die Änderung des Einführungsgesetzes zum Schweizer Zivilgesetzbuch;4;Fakultatives Referendum;2006;Münchwilen;4721;Bichelsee-Balterswil;1804;666;14;6;646;271;375;36.92
27.09.2009;Gesetz betreffend die Änderung des Einführungsgesetzes zum Schweizer Zivilgesetzbuch;4;Fakultatives Referendum;2008;Weinfelden;4901;Birwinken;914;389;11;5;373;145;228;42.56
27.09.2009;Gesetz betreffend die Änderung des Einführungsgesetzes zum Schweizer Zivilgesetzbuch;4;Fakultatives Referendum;2002;Bischofszell;4471;Bischofszell;3463;1339;50;13;1276;537;739;38.67
27.09.2009;Gesetz betreffend die Änderung des Einführungsgesetzes zum Schweizer Zivilgesetzbuch;4;Fakultatives Referendum;2005;Kreuzlingen;4643;Bottighofen;1262;646;18;4;624;288;336;51.19
