DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
27.09.2009;Gesetz betreffend die Änderung des Gesetzes über die Staats- und Gemeindesteuern (Steuergesetz);4;Fakultatives Referendum;2004;Frauenfeld;4551;Aadorf;5456;2085;21;65;1999;1041;958;38.21
27.09.2009;Gesetz betreffend die Änderung des Gesetzes über die Staats- und Gemeindesteuern (Steuergesetz);4;Fakultatives Referendum;2006;Münchwilen;4711;Affeltrangen;1537;609;3;0;606;299;307;39.62
27.09.2009;Gesetz betreffend die Änderung des Gesetzes über die Staats- und Gemeindesteuern (Steuergesetz);4;Fakultatives Referendum;2005;Kreuzlingen;4641;Altnau;1258;499;7;0;492;215;277;39.67
27.09.2009;Gesetz betreffend die Änderung des Gesetzes über die Staats- und Gemeindesteuern (Steuergesetz);4;Fakultatives Referendum;2008;Weinfelden;4881;Amlikon-Bissegg;917;400;11;8;381;189;192;43.62
27.09.2009;Gesetz betreffend die Änderung des Gesetzes über die Staats- und Gemeindesteuern (Steuergesetz);4;Fakultatives Referendum;2002;Bischofszell;4461;Amriswil;7014;2567;39;31;2497;1048;1449;36.6
27.09.2009;Gesetz betreffend die Änderung des Gesetzes über die Staats- und Gemeindesteuern (Steuergesetz);4;Fakultatives Referendum;2001;Arbon;4401;Arbon;7934;3072;41;62;2969;1183;1786;38.72
27.09.2009;Gesetz betreffend die Änderung des Gesetzes über die Staats- und Gemeindesteuern (Steuergesetz);4;Fakultatives Referendum;2003;Diessenhofen;4536;Basadingen-Schlattingen;1157;477;7;3;467;270;197;41.23
27.09.2009;Gesetz betreffend die Änderung des Gesetzes über die Staats- und Gemeindesteuern (Steuergesetz);4;Fakultatives Referendum;2008;Weinfelden;4891;Berg;2077;822;3;13;806;363;443;39.58
27.09.2009;Gesetz betreffend die Änderung des Gesetzes über die Staats- und Gemeindesteuern (Steuergesetz);4;Fakultatives Referendum;2007;Steckborn;4801;Berlingen;566;285;8;4;273;114;159;50.35
27.09.2009;Gesetz betreffend die Änderung des Gesetzes über die Staats- und Gemeindesteuern (Steuergesetz);4;Fakultatives Referendum;2006;Münchwilen;4716;Bettwiesen;686;261;0;0;261;138;123;38.05
27.09.2009;Gesetz betreffend die Änderung des Gesetzes über die Staats- und Gemeindesteuern (Steuergesetz);4;Fakultatives Referendum;2006;Münchwilen;4721;Bichelsee-Balterswil;1804;670;6;5;659;337;322;37.14
27.09.2009;Gesetz betreffend die Änderung des Gesetzes über die Staats- und Gemeindesteuern (Steuergesetz);4;Fakultatives Referendum;2008;Weinfelden;4901;Birwinken;914;395;4;4;387;141;246;43.22
27.09.2009;Gesetz betreffend die Änderung des Gesetzes über die Staats- und Gemeindesteuern (Steuergesetz);4;Fakultatives Referendum;2002;Bischofszell;4471;Bischofszell;3463;1367;16;13;1338;514;824;39.47
27.09.2009;Gesetz betreffend die Änderung des Gesetzes über die Staats- und Gemeindesteuern (Steuergesetz);4;Fakultatives Referendum;2005;Kreuzlingen;4643;Bottighofen;1262;662;8;4;650;288;362;52.46
27.09.2009;Gesetz betreffend die Änderung des Gesetzes über die Staats- und Gemeindesteuern (Steuergesetz);4;Fakultatives Referendum;2006;Münchwilen;4723;Braunau;471;216;7;2;207;105;102;45.86
27.09.2009;Gesetz betreffend die Änderung des Gesetzes über die Staats- und Gemeindesteuern (Steuergesetz);4;Fakultatives Referendum;2008;Weinfelden;4911;Bürglen;2027;834;14;21;799;301;498;41.14
27.09.2009;Gesetz betreffend die Änderung des Gesetzes über die Staats- und Gemeindesteuern (Steuergesetz);4;Fakultatives Referendum;2008;Weinfelden;4921;Bussnang;1472;589;10;1;578;272;306;40.01
27.09.2009;Gesetz betreffend die Änderung des Gesetzes über die Staats- und Gemeindesteuern (Steuergesetz);4;Fakultatives Referendum;2003;Diessenhofen;4545;Diessenhofen;1957;992;42;0;950;537;413;50.69
27.09.2009;Gesetz betreffend die Änderung des Gesetzes über die Staats- und Gemeindesteuern (Steuergesetz);4;Fakultatives Referendum;2001;Arbon;4406;Dozwil;381;204;3;1;200;76;124;53.54
27.09.2009;Gesetz betreffend die Änderung des Gesetzes über die Staats- und Gemeindesteuern (Steuergesetz);4;Fakultatives Referendum;2001;Arbon;4411;Egnach;2948;1231;12;11;1208;454;754;41.76
27.09.2009;Gesetz betreffend die Änderung des Gesetzes über die Staats- und Gemeindesteuern (Steuergesetz);4;Fakultatives Referendum;2002;Bischofszell;4476;Erlen;1990;695;0;10;685;305;380;34.92
27.09.2009;Gesetz betreffend die Änderung des Gesetzes über die Staats- und Gemeindesteuern (Steuergesetz);4;Fakultatives Referendum;2005;Kreuzlingen;4646;Ermatingen;1775;757;13;1;743;306;437;42.65
27.09.2009;Gesetz betreffend die Änderung des Gesetzes über die Staats- und Gemeindesteuern (Steuergesetz);4;Fakultatives Referendum;2007;Steckborn;4806;Eschenz;1122;450;7;0;443;235;208;40.11
27.09.2009;Gesetz betreffend die Änderung des Gesetzes über die Staats- und Gemeindesteuern (Steuergesetz);4;Fakultatives Referendum;2006;Münchwilen;4724;Eschlikon;2650;1065;15;25;1025;565;460;40.19
27.09.2009;Gesetz betreffend die Änderung des Gesetzes über die Staats- und Gemeindesteuern (Steuergesetz);4;Fakultatives Referendum;2004;Frauenfeld;4561;Felben-Wellhausen;1566;572;4;13;555;218;337;36.53
27.09.2009;Gesetz betreffend die Änderung des Gesetzes über die Staats- und Gemeindesteuern (Steuergesetz);4;Fakultatives Referendum;2006;Münchwilen;4726;Fischingen;1869;787;9;7;771;358;413;42.11
