DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
07.03.2010;"Thurgauische Volksinitiative ""Ja! Freie Schulwahl für alle.""";1;Volksinitiative;2004;Frauenfeld;4551;Aadorf;5508;2219;29;58;2132;300;1832;40.29
07.03.2010;"Thurgauische Volksinitiative ""Ja! Freie Schulwahl für alle.""";1;Volksinitiative;2006;Münchwilen;4711;Affeltrangen;1571;712;4;4;704;120;584;45.32
07.03.2010;"Thurgauische Volksinitiative ""Ja! Freie Schulwahl für alle.""";1;Volksinitiative;2005;Kreuzlingen;4641;Altnau;1270;610;3;0;607;121;486;48.03
07.03.2010;"Thurgauische Volksinitiative ""Ja! Freie Schulwahl für alle.""";1;Volksinitiative;2008;Weinfelden;4881;Amlikon-Bissegg;927;426;2;5;419;73;346;45.95
07.03.2010;"Thurgauische Volksinitiative ""Ja! Freie Schulwahl für alle.""";1;Volksinitiative;2002;Bischofszell;4461;Amriswil;7076;2728;20;28;2680;510;2170;38.55
07.03.2010;"Thurgauische Volksinitiative ""Ja! Freie Schulwahl für alle.""";1;Volksinitiative;2001;Arbon;4401;Arbon;8000;3393;21;83;3289;624;2665;42.41
07.03.2010;"Thurgauische Volksinitiative ""Ja! Freie Schulwahl für alle.""";1;Volksinitiative;2003;Diessenhofen;4536;Basadingen-Schlattingen;1162;574;4;8;562;93;469;49.4
07.03.2010;"Thurgauische Volksinitiative ""Ja! Freie Schulwahl für alle.""";1;Volksinitiative;2008;Weinfelden;4891;Berg;2088;962;9;5;948;133;815;46.07
07.03.2010;"Thurgauische Volksinitiative ""Ja! Freie Schulwahl für alle.""";1;Volksinitiative;2007;Steckborn;4801;Berlingen;568;318;0;4;314;33;281;55.99
07.03.2010;"Thurgauische Volksinitiative ""Ja! Freie Schulwahl für alle.""";1;Volksinitiative;2006;Münchwilen;4716;Bettwiesen;692;276;2;9;265;34;231;39.88
07.03.2010;"Thurgauische Volksinitiative ""Ja! Freie Schulwahl für alle.""";1;Volksinitiative;2006;Münchwilen;4721;Bichelsee-Balterswil;1831;779;4;4;771;115;656;42.55
07.03.2010;"Thurgauische Volksinitiative ""Ja! Freie Schulwahl für alle.""";1;Volksinitiative;2008;Weinfelden;4901;Birwinken;905;436;1;5;430;82;348;48.18
07.03.2010;"Thurgauische Volksinitiative ""Ja! Freie Schulwahl für alle.""";1;Volksinitiative;2002;Bischofszell;4471;Bischofszell;3476;1480;11;19;1450;267;1183;42.58
07.03.2010;"Thurgauische Volksinitiative ""Ja! Freie Schulwahl für alle.""";1;Volksinitiative;2005;Kreuzlingen;4643;Bottighofen;1269;683;3;7;673;125;548;53.82
