DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
13.02.2011;Kreditbegehren von 7'630'000 Franken für die Aufstockung des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2014;Münchwilen;4551;Aadorf;5593;2287;82;41;2164;1386;778;40.89
13.02.2011;Kreditbegehren von 7'630'000 Franken für die Aufstockung des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2015;Weinfelden;4711;Affeltrangen;1588;772;19;2;751;498;253;48.61
13.02.2011;Kreditbegehren von 7'630'000 Franken für die Aufstockung des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2013;Kreuzlingen;4641;Altnau;1272;610;20;0;590;450;140;47.96
13.02.2011;Kreditbegehren von 7'630'000 Franken für die Aufstockung des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2015;Weinfelden;4881;Amlikon-Bissegg;925;452;18;8;426;289;137;48.86
13.02.2011;Kreditbegehren von 7'630'000 Franken für die Aufstockung des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2011;Arbon;4461;Amriswil;7221;2940;81;47;2812;1962;850;40.71
13.02.2011;Kreditbegehren von 7'630'000 Franken für die Aufstockung des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2011;Arbon;4401;Arbon;8078;3359;133;80;3146;2112;1034;41.58
13.02.2011;Kreditbegehren von 7'630'000 Franken für die Aufstockung des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2012;Frauenfeld;4536;Basadingen-Schlattingen;1179;628;39;7;582;318;264;53.27
13.02.2011;Kreditbegehren von 7'630'000 Franken für die Aufstockung des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2015;Weinfelden;4891;Berg;2089;1310;39;10;1261;942;319;62.71
13.02.2011;Kreditbegehren von 7'630'000 Franken für die Aufstockung des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2012;Frauenfeld;4801;Berlingen;580;396;20;8;368;243;125;68.28
13.02.2011;Kreditbegehren von 7'630'000 Franken für die Aufstockung des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2014;Münchwilen;4716;Bettwiesen;679;310;6;1;303;207;96;45.66
13.02.2011;Kreditbegehren von 7'630'000 Franken für die Aufstockung des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2014;Münchwilen;4721;Bichelsee-Balterswil;1851;843;31;9;803;509;294;45.54
13.02.2011;Kreditbegehren von 7'630'000 Franken für die Aufstockung des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2015;Weinfelden;4901;Birwinken;915;454;7;14;433;278;155;49.62
13.02.2011;Kreditbegehren von 7'630'000 Franken für die Aufstockung des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2015;Weinfelden;4471;Bischofszell;3445;1949;62;27;1860;1128;732;56.57
13.02.2011;Kreditbegehren von 7'630'000 Franken für die Aufstockung des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2013;Kreuzlingen;4643;Bottighofen;1258;663;21;7;635;435;200;52.7
13.02.2011;Kreditbegehren von 7'630'000 Franken für die Aufstockung des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2014;Münchwilen;4723;Braunau;461;257;13;0;244;150;94;55.75
13.02.2011;Kreditbegehren von 7'630'000 Franken für die Aufstockung des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2015;Weinfelden;4911;Bürglen;2066;1084;25;24;1035;648;387;52.47
13.02.2011;Kreditbegehren von 7'630'000 Franken für die Aufstockung des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2015;Weinfelden;4921;Bussnang;1465;775;25;0;750;542;208;52.9
13.02.2011;Kreditbegehren von 7'630'000 Franken für die Aufstockung des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2012;Frauenfeld;4545;Diessenhofen;1988;1102;60;0;1042;642;400;55.43
13.02.2011;Kreditbegehren von 7'630'000 Franken für die Aufstockung des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2011;Arbon;4406;Dozwil;424;225;13;2;210;146;64;53.07
13.02.2011;Kreditbegehren von 7'630'000 Franken für die Aufstockung des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2011;Arbon;4411;Egnach;2963;1429;42;36;1351;955;396;48.23
13.02.2011;Kreditbegehren von 7'630'000 Franken für die Aufstockung des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2015;Weinfelden;4476;Erlen;2007;826;20;14;792;507;285;41.16
13.02.2011;Kreditbegehren von 7'630'000 Franken für die Aufstockung des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2013;Kreuzlingen;4646;Ermatingen;1761;935;36;14;885;597;288;53.09
13.02.2011;Kreditbegehren von 7'630'000 Franken für die Aufstockung des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2012;Frauenfeld;4806;Eschenz;1141;542;22;0;520;340;180;47.5
13.02.2011;Kreditbegehren von 7'630'000 Franken für die Aufstockung des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2014;Münchwilen;4724;Eschlikon;2737;1213;23;19;1171;770;401;44.32
13.02.2011;Kreditbegehren von 7'630'000 Franken für die Aufstockung des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2012;Frauenfeld;4561;Felben-Wellhausen;1614;661;20;19;622;469;153;40.95
13.02.2011;Kreditbegehren von 7'630'000 Franken für die Aufstockung des Berufsbildungszentrums Weinfelden;3;Obligatorisches Referendum;2014;Münchwilen;4726;Fischingen;1868;1000;43;13;944;585;359;53.53
