DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
13.02.2011;Kreditbegehren von 4'800'000 Franken als Baubeitrag des Kantons Thurgau an den Neubau der Dreifachsporthalle Arbon;3;Obligatorisches Referendum;2014;Münchwilen;4551;Aadorf;5593;2287;81;44;2162;1295;867;40.89
13.02.2011;Kreditbegehren von 4'800'000 Franken als Baubeitrag des Kantons Thurgau an den Neubau der Dreifachsporthalle Arbon;3;Obligatorisches Referendum;2015;Weinfelden;4711;Affeltrangen;1588;771;23;1;747;471;276;48.55
13.02.2011;Kreditbegehren von 4'800'000 Franken als Baubeitrag des Kantons Thurgau an den Neubau der Dreifachsporthalle Arbon;3;Obligatorisches Referendum;2013;Kreuzlingen;4641;Altnau;1272;611;15;0;596;437;159;48.03
13.02.2011;Kreditbegehren von 4'800'000 Franken als Baubeitrag des Kantons Thurgau an den Neubau der Dreifachsporthalle Arbon;3;Obligatorisches Referendum;2015;Weinfelden;4881;Amlikon-Bissegg;925;450;17;8;425;259;166;48.65
13.02.2011;Kreditbegehren von 4'800'000 Franken als Baubeitrag des Kantons Thurgau an den Neubau der Dreifachsporthalle Arbon;3;Obligatorisches Referendum;2011;Arbon;4461;Amriswil;7221;2938;71;45;2822;1864;958;40.69
13.02.2011;Kreditbegehren von 4'800'000 Franken als Baubeitrag des Kantons Thurgau an den Neubau der Dreifachsporthalle Arbon;3;Obligatorisches Referendum;2011;Arbon;4401;Arbon;8078;3435;52;85;3298;2623;675;42.52
13.02.2011;Kreditbegehren von 4'800'000 Franken als Baubeitrag des Kantons Thurgau an den Neubau der Dreifachsporthalle Arbon;3;Obligatorisches Referendum;2012;Frauenfeld;4536;Basadingen-Schlattingen;1179;602;45;7;550;273;277;51.06
13.02.2011;Kreditbegehren von 4'800'000 Franken als Baubeitrag des Kantons Thurgau an den Neubau der Dreifachsporthalle Arbon;3;Obligatorisches Referendum;2015;Weinfelden;4891;Berg;2089;1299;38;10;1251;865;386;62.18
13.02.2011;Kreditbegehren von 4'800'000 Franken als Baubeitrag des Kantons Thurgau an den Neubau der Dreifachsporthalle Arbon;3;Obligatorisches Referendum;2012;Frauenfeld;4801;Berlingen;580;396;20;8;368;230;138;68.28
13.02.2011;Kreditbegehren von 4'800'000 Franken als Baubeitrag des Kantons Thurgau an den Neubau der Dreifachsporthalle Arbon;3;Obligatorisches Referendum;2014;Münchwilen;4716;Bettwiesen;679;310;6;1;303;183;120;45.66
13.02.2011;Kreditbegehren von 4'800'000 Franken als Baubeitrag des Kantons Thurgau an den Neubau der Dreifachsporthalle Arbon;3;Obligatorisches Referendum;2014;Münchwilen;4721;Bichelsee-Balterswil;1851;847;30;9;808;486;322;45.76
13.02.2011;Kreditbegehren von 4'800'000 Franken als Baubeitrag des Kantons Thurgau an den Neubau der Dreifachsporthalle Arbon;3;Obligatorisches Referendum;2015;Weinfelden;4901;Birwinken;915;452;9;14;429;238;191;49.4
13.02.2011;Kreditbegehren von 4'800'000 Franken als Baubeitrag des Kantons Thurgau an den Neubau der Dreifachsporthalle Arbon;3;Obligatorisches Referendum;2015;Weinfelden;4471;Bischofszell;3445;1941;65;27;1849;1140;709;56.34
13.02.2011;Kreditbegehren von 4'800'000 Franken als Baubeitrag des Kantons Thurgau an den Neubau der Dreifachsporthalle Arbon;3;Obligatorisches Referendum;2013;Kreuzlingen;4643;Bottighofen;1258;661;20;7;634;443;191;52.54
