DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
15.05.2011;"Gegenvorschlag zur Volksinitiative ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2014;Münchwilen;4551;Aadorf;5614;1369;59;43;1303;742;502;24.39
15.05.2011;"Gegenvorschlag zur Volksinitiative ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2015;Weinfelden;4711;Affeltrangen;1587;431;27;1;427;263;137;27.16
15.05.2011;"Gegenvorschlag zur Volksinitiative ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2013;Kreuzlingen;4641;Altnau;1289;345;20;0;345;212;113;26.76
15.05.2011;"Gegenvorschlag zur Volksinitiative ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2015;Weinfelden;4881;Amlikon-Bissegg;937;243;7;3;240;149;84;25.93
15.05.2011;"Gegenvorschlag zur Volksinitiative ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2011;Arbon;4461;Amriswil;7254;1710;134;25;1658;964;560;23.57
15.05.2011;"Gegenvorschlag zur Volksinitiative ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2011;Arbon;4401;Arbon;8051;1812;146;32;1768;891;731;22.51
15.05.2011;"Gegenvorschlag zur Volksinitiative ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2012;Frauenfeld;4536;Basadingen-Schlattingen;1182;253;16;5;242;143;83;21.4
15.05.2011;"Gegenvorschlag zur Volksinitiative ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2015;Weinfelden;4891;Berg;2100;716;33;2;702;457;212;34.1
15.05.2011;"Gegenvorschlag zur Volksinitiative ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2012;Frauenfeld;4801;Berlingen;581;220;13;6;213;94;106;37.87
15.05.2011;"Gegenvorschlag zur Volksinitiative ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2014;Münchwilen;4716;Bettwiesen;689;155;5;2;152;79;68;22.5
15.05.2011;"Gegenvorschlag zur Volksinitiative ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2014;Münchwilen;4721;Bichelsee-Balterswil;1850;354;18;2;344;195;131;19.14
15.05.2011;"Gegenvorschlag zur Volksinitiative ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2015;Weinfelden;4901;Birwinken;916;268;19;1;261;143;99;29.26
