DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
15.05.2011;"Volksinitiative ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2014;Münchwilen;4551;Aadorf;5614;1369;23;43;1303;590;690;24.39
15.05.2011;"Volksinitiative ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2015;Weinfelden;4711;Affeltrangen;1587;431;3;1;427;161;248;27.16
15.05.2011;"Volksinitiative ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2013;Kreuzlingen;4641;Altnau;1289;345;0;0;345;145;190;26.76
15.05.2011;"Volksinitiative ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2015;Weinfelden;4881;Amlikon-Bissegg;937;243;0;3;240;98;139;25.93
15.05.2011;"Volksinitiative ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2011;Arbon;4461;Amriswil;7254;1710;27;25;1658;757;841;23.57
15.05.2011;"Volksinitiative ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2011;Arbon;4401;Arbon;8051;1812;12;32;1768;942;767;22.51
15.05.2011;"Volksinitiative ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2012;Frauenfeld;4536;Basadingen-Schlattingen;1182;253;6;5;242;103;136;21.4
15.05.2011;"Volksinitiative ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2015;Weinfelden;4891;Berg;2100;716;12;2;702;279;401;34.1
15.05.2011;"Volksinitiative ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2012;Frauenfeld;4801;Berlingen;581;220;1;6;213;111;102;37.87
15.05.2011;"Volksinitiative ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2014;Münchwilen;4716;Bettwiesen;689;155;1;2;152;73;78;22.5
