DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
15.05.2011;"Stichfrage zur Volksinitiative mit Gegenvorschlag ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2014;Münchwilen;4551;Aadorf;5614;1369;41;43;1303;561;701;24.39
15.05.2011;"Stichfrage zur Volksinitiative mit Gegenvorschlag ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2015;Weinfelden;4711;Affeltrangen;1587;431;12;1;427;147;268;27.16
15.05.2011;"Stichfrage zur Volksinitiative mit Gegenvorschlag ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2013;Kreuzlingen;4641;Altnau;1289;345;6;0;345;140;199;26.76
15.05.2011;"Stichfrage zur Volksinitiative mit Gegenvorschlag ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2015;Weinfelden;4881;Amlikon-Bissegg;937;243;4;3;240;91;145;25.93
15.05.2011;"Stichfrage zur Volksinitiative mit Gegenvorschlag ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2011;Arbon;4461;Amriswil;7254;1710;66;25;1658;700;892;60.9
15.05.2011;"Stichfrage zur Volksinitiative mit Gegenvorschlag ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2011;Arbon;4401;Arbon;8051;1812;53;32;1768;879;836;22.51
15.05.2011;"Stichfrage zur Volksinitiative mit Gegenvorschlag ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2012;Frauenfeld;4536;Basadingen-Schlattingen;1182;253;9;5;242;100;133;21.4
15.05.2011;"Stichfrage zur Volksinitiative mit Gegenvorschlag ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2015;Weinfelden;4891;Berg;2100;716;15;2;702;263;424;34.1
15.05.2011;"Stichfrage zur Volksinitiative mit Gegenvorschlag ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2012;Frauenfeld;4801;Berlingen;581;220;5;6;213;104;104;37.87
15.05.2011;"Stichfrage zur Volksinitiative mit Gegenvorschlag ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2014;Münchwilen;4716;Bettwiesen;689;155;2;2;152;75;75;22.5
15.05.2011;"Stichfrage zur Volksinitiative mit Gegenvorschlag ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2014;Münchwilen;4721;Bichelsee-Balterswil;1850;354;16;2;344;114;214;19.14
15.05.2011;"Stichfrage zur Volksinitiative mit Gegenvorschlag ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2015;Weinfelden;4901;Birwinken;916;268;9;1;261;121;131;29.26
15.05.2011;"Stichfrage zur Volksinitiative mit Gegenvorschlag ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2015;Weinfelden;4471;Bischofszell;3448;800;19;5;787;339;429;23.2
15.05.2011;"Stichfrage zur Volksinitiative mit Gegenvorschlag ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2013;Kreuzlingen;4643;Bottighofen;1248;487;13;5;482;193;276;39.02
15.05.2011;"Stichfrage zur Volksinitiative mit Gegenvorschlag ""Abschaffung der Pauschalbesteuerung - Schweizer und Ausländer gleich behandeln""";2;Volksinitiative mit Gegenvorschlag;2014;Münchwilen;4723;Braunau;470;127;14;1;123;35;74;27.02
