DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2014;Münchwilen;4551;Aadorf;5614;1373;25;24;1324;1100;224;24.46
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2015;Weinfelden;4711;Affeltrangen;1587;434;8;1;425;354;71;27.35
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2013;Kreuzlingen;4641;Altnau;1289;321;2;0;319;280;39;24.9
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2015;Weinfelden;4881;Amlikon-Bissegg;937;244;2;3;239;199;40;26.04
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2011;Arbon;4461;Amriswil;7254;1716;27;22;1667;1419;248;23.66
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2011;Arbon;4401;Arbon;8051;1812;47;32;1733;1466;267;22.51
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2012;Frauenfeld;4536;Basadingen-Schlattingen;1182;252;3;5;244;201;43;21.32
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2015;Weinfelden;4891;Berg;2100;720;7;4;709;610;99;34.29
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2012;Frauenfeld;4801;Berlingen;581;220;3;6;211;157;54;37.87
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2014;Münchwilen;4716;Bettwiesen;689;155;2;2;151;133;18;22.5
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2014;Münchwilen;4721;Bichelsee-Balterswil;1850;392;5;2;385;323;62;21.19
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2015;Weinfelden;4901;Birwinken;916;270;7;1;262;213;49;29.48
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2015;Weinfelden;4471;Bischofszell;3448;797;12;5;780;669;111;23.11
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2013;Kreuzlingen;4643;Bottighofen;1248;480;6;5;469;392;77;38.46
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2014;Münchwilen;4723;Braunau;470;127;2;1;124;85;39;27.02
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2015;Weinfelden;4911;Bürglen;2079;444;5;7;432;371;61;21.36
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2015;Weinfelden;4921;Bussnang;1464;408;1;0;407;350;57;27.87
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2012;Frauenfeld;4545;Diessenhofen;2011;513;7;0;506;412;94;25.51
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2011;Arbon;4406;Dozwil;422;122;1;1;120;100;20;28.91
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2011;Arbon;4411;Egnach;2961;744;19;19;706;606;100;25.13
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2015;Weinfelden;4476;Erlen;2002;440;3;1;436;361;75;21.98
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2013;Kreuzlingen;4646;Ermatingen;1751;500;5;5;490;409;81;28.56
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2012;Frauenfeld;4806;Eschenz;1143;324;5;0;319;269;50;28.35
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2014;Münchwilen;4724;Eschlikon;2779;672;4;9;659;558;101;24.18
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2012;Frauenfeld;4561;Felben-Wellhausen;1614;339;4;7;328;274;54;21
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2014;Münchwilen;4726;Fischingen;1867;443;5;3;435;372;63;23.73
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2012;Frauenfeld;4566;Frauenfeld;15075;4817;138;29;4650;3750;900;31.95
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2012;Frauenfeld;4571;Gachnang;2327;581;5;22;554;475;79;24.97
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2013;Kreuzlingen;4651;Gottlieben;168;68;4;0;64;52;12;40.48
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2013;Kreuzlingen;4656;Güttingen;943;275;5;8;262;221;41;29.16
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2015;Weinfelden;4486;Hauptwil-Gottshaus;1252;265;2;0;263;232;31;21.17
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2011;Arbon;4416;Hefenhofen;829;190;3;2;185;170;15;22.92
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2012;Frauenfeld;4811;Herdern;677;219;7;3;209;174;35;32.35
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2015;Weinfelden;4495;Hohentannen;409;95;0;1;94;79;15;23.23
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2012;Frauenfeld;4816;Homburg;1082;238;4;3;231;186;45;22
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2011;Arbon;4421;Horn;1766;409;0;6;403;326;77;23.16
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2012;Frauenfeld;4590;Hüttlingen;600;171;2;3;166;146;20;28.5
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2012;Frauenfeld;4821;Hüttwilen;1060;350;6;3;341;293;48;33.02
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2013;Kreuzlingen;4666;Kemmental;1517;363;8;0;355;288;67;23.93
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2011;Arbon;4426;Kesswil;645;208;4;0;204;175;29;32.25
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2015;Weinfelden;4501;Kradolf-Schönenberg;2104;510;10;3;497;431;66;24.24
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2013;Kreuzlingen;4671;Kreuzlingen;8310;2746;65;32;2649;2239;410;33.04
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2013;Kreuzlingen;4681;Langrickenbach;766;227;1;1;225;204;21;29.63
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2013;Kreuzlingen;4683;Lengwil;876;238;6;0;232;189;43;27.17
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2014;Münchwilen;4741;Lommis;770;177;2;0;175;147;28;22.99
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2012;Frauenfeld;4826;Mammern;347;127;1;1;125;100;25;36.6
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2015;Weinfelden;4941;Märstetten;1705;463;3;4;456;407;49;27.16
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2012;Frauenfeld;4591;Matzingen;1600;300;2;3;295;256;39;18.75
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2012;Frauenfeld;4831;Müllheim;1773;349;10;10;329;261;68;19.68
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2014;Münchwilen;4746;Münchwilen;3042;630;7;5;618;511;107;20.71
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2013;Kreuzlingen;4691;Münsterlingen;1515;459;9;1;449;393;56;30.3
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2012;Frauenfeld;4601;Neunforn;731;201;9;0;192;160;32;27.5
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2012;Frauenfeld;4841;Pfyn;1368;330;5;1;324;268;56;24.12
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2013;Kreuzlingen;4846;Raperswilen;295;126;5;0;121;79;42;42.71
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2014;Münchwilen;4751;Rickenbach b. Wil;1493;283;3;6;274;228;46;18.96
15.05.2011;"Volksinitiative ""Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!""";1;Volksinitiative;2011;Arbon;4431;Roggwil;1984;444;5;8;431;354;77;22.38
