DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2014;Münchwilen;4551;Aadorf;5614;1331;50;3;1278;475;803;23.71
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2015;Weinfelden;4711;Affeltrangen;1587;432;15;1;416;129;287;27.22
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2013;Kreuzlingen;4641;Altnau;1289;336;12;0;324;105;219;26.07
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2015;Weinfelden;4881;Amlikon-Bissegg;937;239;10;3;226;85;141;25.51
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2011;Arbon;4461;Amriswil;7254;1694;62;19;1613;648;965;23.35
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2011;Arbon;4401;Arbon;8051;1787;76;31;1680;710;970;22.2
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2012;Frauenfeld;4536;Basadingen-Schlattingen;1182;250;17;5;228;86;142;21.15
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2015;Weinfelden;4891;Berg;2100;710;29;4;677;240;437;33.81
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2012;Frauenfeld;4801;Berlingen;581;217;4;6;207;72;135;37.35
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2014;Münchwilen;4716;Bettwiesen;689;154;4;2;148;50;98;22.35
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2014;Münchwilen;4721;Bichelsee-Balterswil;1850;382;18;2;362;108;254;20.65
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2015;Weinfelden;4901;Birwinken;916;266;12;1;253;103;150;29.04
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2015;Weinfelden;4471;Bischofszell;3448;791;18;6;767;310;457;22.94
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2013;Kreuzlingen;4643;Bottighofen;1248;471;16;5;450;182;268;37.74
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2014;Münchwilen;4723;Braunau;470;126;3;1;122;34;88;26.81
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2015;Weinfelden;4911;Bürglen;2079;429;15;7;407;100;307;20.63
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2015;Weinfelden;4921;Bussnang;1464;404;2;0;402;162;240;27.6
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2012;Frauenfeld;4545;Diessenhofen;2011;503;35;0;468;157;311;25.01
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2011;Arbon;4406;Dozwil;422;120;4;1;115;41;74;28.44
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2011;Arbon;4411;Egnach;2961;738;24;18;696;240;456;24.92
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2015;Weinfelden;4476;Erlen;2002;437;15;1;421;140;281;21.83
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2013;Kreuzlingen;4646;Ermatingen;1751;493;21;5;467;150;317;28.16
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2012;Frauenfeld;4806;Eschenz;1143;319;16;0;303;100;203;27.91
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2014;Münchwilen;4724;Eschlikon;2779;645;15;8;622;196;426;23.21
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2012;Frauenfeld;4561;Felben-Wellhausen;1614;331;16;7;308;131;177;20.51
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2014;Münchwilen;4726;Fischingen;1867;435;14;2;419;131;288;23.3
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2012;Frauenfeld;4566;Frauenfeld;15075;4734;295;29;4410;1896;2514;31.4
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2012;Frauenfeld;4571;Gachnang;2327;567;20;21;526;191;335;24.37
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2013;Kreuzlingen;4651;Gottlieben;168;68;3;0;65;22;43;40.48
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2013;Kreuzlingen;4656;Güttingen;943;275;8;8;259;81;178;29.16
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2015;Weinfelden;4486;Hauptwil-Gottshaus;1252;265;5;0;260;85;175;21.17
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2011;Arbon;4416;Hefenhofen;829;188;12;2;174;79;95;22.68
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2012;Frauenfeld;4811;Herdern;677;212;11;5;196;65;131;31.31
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2015;Weinfelden;4495;Hohentannen;409;95;4;1;90;29;61;23.23
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2012;Frauenfeld;4816;Homburg;1082;236;8;4;224;57;167;21.81
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2011;Arbon;4421;Horn;1766;403;9;7;387;115;272;22.82
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2012;Frauenfeld;4590;Hüttlingen;600;170;11;3;156;64;92;28.33
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2012;Frauenfeld;4821;Hüttwilen;1060;341;15;3;323;112;211;32.17
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2013;Kreuzlingen;4666;Kemmental;1517;358;15;0;343;107;236;23.6
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2011;Arbon;4426;Kesswil;645;206;13;0;193;89;104;31.94
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2015;Weinfelden;4501;Kradolf-Schönenberg;2104;502;20;5;477;135;342;23.86
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2013;Kreuzlingen;4671;Kreuzlingen;8310;2704;151;32;2521;1094;1427;32.54
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2013;Kreuzlingen;4681;Langrickenbach;766;226;11;1;214;57;157;29.5
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2013;Kreuzlingen;4683;Lengwil;876;236;13;0;223;89;134;26.94
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2014;Münchwilen;4741;Lommis;770;175;3;0;172;48;124;22.73
15.05.2011;"Volksinitiative ""Faires Wahlsystem für die Grossratswahlen""";1;Volksinitiative;2012;Frauenfeld;4826;Mammern;347;126;9;1;116;39;77;36.31
