DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2014;Münchwilen;4551;Aadorf;5649;2404;52;42;2310;1677;633;42.56
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2015;Weinfelden;4711;Affeltrangen;1598;794;19;2;773;486;287;49.69
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2013;Kreuzlingen;4641;Altnau;1305;638;9;0;629;379;250;48.89
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2015;Weinfelden;4881;Amlikon-Bissegg;935;456;9;8;439;298;141;48.77
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2011;Arbon;4461;Amriswil;7308;2792;53;28;2711;1948;763;38.2
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2011;Arbon;4401;Arbon;8073;2903;78;73;2752;1884;868;35.96
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2012;Frauenfeld;4536;Basadingen-Schlattingen;1176;570;24;9;537;296;241;48.47
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2015;Weinfelden;4891;Berg;2105;1053;15;0;1038;703;335;50.02
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2012;Frauenfeld;4801;Berlingen;574;304;3;2;299;130;169;52.96
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2014;Münchwilen;4716;Bettwiesen;695;299;1;9;289;215;74;43.02
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2014;Münchwilen;4721;Bichelsee-Balterswil;1852;856;15;6;835;574;261;46.22
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2015;Weinfelden;4901;Birwinken;909;438;6;3;429;256;173;48.18
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2015;Weinfelden;4471;Bischofszell;3458;1513;29;22;1462;971;491;43.75
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2013;Kreuzlingen;4643;Bottighofen;1243;667;23;5;639;433;206;53.66
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2014;Münchwilen;4723;Braunau;479;263;7;2;254;128;126;54.91
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2015;Weinfelden;4911;Bürglen;2109;887;15;33;839;497;342;42.06
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2015;Weinfelden;4921;Bussnang;1479;754;14;2;738;467;271;50.98
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2012;Frauenfeld;4545;Diessenhofen;2022;933;31;0;902;567;335;46.14
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2011;Arbon;4406;Dozwil;422;219;7;1;211;105;106;51.9
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2011;Arbon;4411;Egnach;2952;1393;26;19;1348;940;408;47.19
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2015;Weinfelden;4476;Erlen;2009;798;6;4;788;548;240;39.72
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2013;Kreuzlingen;4646;Ermatingen;1763;846;16;13;817;514;303;47.99
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2012;Frauenfeld;4806;Eschenz;1148;544;20;0;524;343;181;47.39
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2014;Münchwilen;4724;Eschlikon;2787;1276;15;15;1246;933;313;45.78
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2012;Frauenfeld;4561;Felben-Wellhausen;1618;632;23;7;602;408;194;39.06
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2014;Münchwilen;4726;Fischingen;1863;1071;33;5;1033;618;415;57.49
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2012;Frauenfeld;4566;Frauenfeld;15211;7199;319;167;6713;4991;1722;47.33
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2012;Frauenfeld;4571;Gachnang;2314;952;26;38;888;776;112;41.14
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2013;Kreuzlingen;4651;Gottlieben;175;106;4;1;101;71;30;60.57
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2013;Kreuzlingen;4656;Güttingen;946;488;19;8;461;292;169;51.59
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2015;Weinfelden;4486;Hauptwil-Gottshaus;1268;558;8;4;546;347;199;44.01
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2011;Arbon;4416;Hefenhofen;829;375;8;2;365;256;109;45.24
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2012;Frauenfeld;4811;Herdern;678;395;14;12;369;255;114;58.26
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2015;Weinfelden;4495;Hohentannen;421;219;4;1;214;123;91;52.02
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2012;Frauenfeld;4816;Homburg;1080;538;14;17;507;308;199;49.81
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2011;Arbon;4421;Horn;1758;717;6;0;711;552;159;40.78
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2012;Frauenfeld;4590;Hüttlingen;605;320;4;7;309;197;112;52.89
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2012;Frauenfeld;4821;Hüttwilen;1067;607;17;11;579;390;189;56.89
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2013;Kreuzlingen;4666;Kemmental;1503;695;15;0;680;379;301;46.24
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2011;Arbon;4426;Kesswil;641;353;4;6;343;259;84;55.07
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2015;Weinfelden;4501;Kradolf-Schönenberg;2120;880;20;4;856;610;246;41.51
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2013;Kreuzlingen;4671;Kreuzlingen;8330;3604;87;70;3447;2296;1151;43.27
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2013;Kreuzlingen;4681;Langrickenbach;769;417;10;2;405;263;142;54.23
23.10.2011;Gesetz betreffend die Änderung der Verfassung des Kantons Thurgau (Abschaffung der Volkswahlen für die Grundbuchämter und Notariate);3;Obligatorisches Referendum;2013;Kreuzlingen;4683;Lengwil;884;411;14;0;397;207;190;46.49
