DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
17.06.2012;Planungs- und Baugesetz;4;Fakultatives Referendum;2014;Münchwilen;4551;Aadorf;5759;1730;82;36;1612;1084;528;30.04
17.06.2012;Planungs- und Baugesetz;4;Fakultatives Referendum;2015;Weinfelden;4711;Affeltrangen;1601;473;19;1;453;298;155;29.54
17.06.2012;Planungs- und Baugesetz;4;Fakultatives Referendum;2013;Kreuzlingen;4641;Altnau;1321;409;11;0;398;256;142;30.96
17.06.2012;Planungs- und Baugesetz;4;Fakultatives Referendum;2015;Weinfelden;4881;Amlikon-Bissegg;947;314;13;0;301;181;120;33.16
17.06.2012;Planungs- und Baugesetz;4;Fakultatives Referendum;2011;Arbon;4461;Amriswil;7327;2009;127;29;1853;1315;538;27.42
17.06.2012;Planungs- und Baugesetz;4;Fakultatives Referendum;2011;Arbon;4401;Arbon;8169;2217;91;60;2066;1346;720;27.14
17.06.2012;Planungs- und Baugesetz;4;Fakultatives Referendum;2012;Frauenfeld;4536;Basadingen-Schlattingen;1163;320;10;9;301;186;115;27.52
17.06.2012;Planungs- und Baugesetz;4;Fakultatives Referendum;2015;Weinfelden;4891;Berg;2153;637;19;6;612;357;255;29.59
17.06.2012;Planungs- und Baugesetz;4;Fakultatives Referendum;2012;Frauenfeld;4801;Berlingen;564;229;9;5;215;123;92;40.6
17.06.2012;Planungs- und Baugesetz;4;Fakultatives Referendum;2014;Münchwilen;4716;Bettwiesen;704;203;3;0;200;132;68;28.84
17.06.2012;Planungs- und Baugesetz;4;Fakultatives Referendum;2014;Münchwilen;4721;Bichelsee-Balterswil;1868;504;18;1;485;285;200;26.98
17.06.2012;Planungs- und Baugesetz;4;Fakultatives Referendum;2015;Weinfelden;4901;Birwinken;923;302;10;3;289;182;107;32.72
