DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2014;Münchwilen;4551;Aadorf;5775;2554;40;61;2453;1234;1219;44.23
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2015;Weinfelden;4711;Affeltrangen;1615;893;6;9;878;472;406;55.29
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2013;Kreuzlingen;4641;Altnau;1324;884;1;0;883;303;580;66.77
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2015;Weinfelden;4881;Amlikon-Bissegg;951;587;2;0;585;337;248;61.72
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2011;Arbon;4461;Amriswil;7370;4396;23;88;4285;2791;1494;59.65
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2011;Arbon;4401;Arbon;8186;4282;29;99;4154;2406;1748;52.31
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2012;Frauenfeld;4536;Basadingen-Schlattingen;1182;575;14;9;552;240;312;48.65
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2015;Weinfelden;4891;Berg;2151;1329;10;28;1291;717;574;61.79
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2012;Frauenfeld;4801;Berlingen;577;366;3;10;353;181;172;63.43
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2014;Münchwilen;4716;Bettwiesen;707;315;1;6;308;148;160;44.55
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2014;Münchwilen;4721;Bichelsee-Balterswil;1874;878;15;18;845;367;478;46.85
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2015;Weinfelden;4901;Birwinken;936;654;0;6;648;255;393;69.87
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2015;Weinfelden;4471;Bischofszell;3487;1767;11;13;1743;929;814;50.67
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2013;Kreuzlingen;4643;Bottighofen;1234;876;7;8;861;547;314;70.99
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2014;Münchwilen;4723;Braunau;484;260;3;3;254;125;129;53.72
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2015;Weinfelden;4911;Bürglen;2118;1260;13;29;1218;801;417;59.49
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2015;Weinfelden;4921;Bussnang;1501;929;12;2;915;432;483;61.89
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2012;Frauenfeld;4545;Diessenhofen;2039;995;24;0;971;484;487;48.8
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2011;Arbon;4406;Dozwil;421;295;0;3;292;152;140;70.07
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2011;Arbon;4411;Egnach;2952;2023;6;48;1969;1124;845;68.53
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2015;Weinfelden;4476;Erlen;2048;1321;3;9;1309;734;575;64.5
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2013;Kreuzlingen;4646;Ermatingen;1798;1029;6;12;1011;549;462;57.23
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2012;Frauenfeld;4806;Eschenz;1139;527;9;2;516;205;311;46.27
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2014;Münchwilen;4724;Eschlikon;2836;1353;19;24;1310;611;699;47.71
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2012;Frauenfeld;4561;Felben-Wellhausen;1645;753;4;15;734;432;302;45.78
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2014;Münchwilen;4726;Fischingen;1898;955;12;10;933;389;544;50.32
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2012;Frauenfeld;4566;Frauenfeld;15360;7650;132;83;7435;4058;3377;49.8
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2012;Frauenfeld;4571;Gachnang;2357;1197;12;25;1160;702;458;50.78
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2013;Kreuzlingen;4651;Gottlieben;168;110;3;2;105;67;38;65.48
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2013;Kreuzlingen;4656;Güttingen;959;674;2;4;668;342;326;70.28
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2015;Weinfelden;4486;Hauptwil-Gottshaus;1281;619;7;6;606;292;314;48.32
23.09.2012;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2011;Arbon;4416;Hefenhofen;864;556;0;13;543;252;291;64.35
