DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2014;Münchwilen;4551;Aadorf;5775;2519;61;61;2397;917;1480;43.62
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2015;Weinfelden;4711;Affeltrangen;1615;882;20;9;853;303;550;54.61
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2013;Kreuzlingen;4641;Altnau;1324;852;8;0;844;224;620;64.35
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2015;Weinfelden;4881;Amlikon-Bissegg;951;580;10;0;570;231;339;60.99
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2011;Arbon;4461;Amriswil;7370;4151;96;75;3980;1886;2094;56.32
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2011;Arbon;4401;Arbon;8186;4118;135;91;3892;1610;2282;50.31
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2012;Frauenfeld;4536;Basadingen-Schlattingen;1182;572;29;10;533;170;363;48.39
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2015;Weinfelden;4891;Berg;2151;1301;25;28;1248;510;738;60.48
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2012;Frauenfeld;4801;Berlingen;577;364;10;10;344;140;204;63.08
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2014;Münchwilen;4716;Bettwiesen;707;315;2;7;306;105;201;44.55
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2014;Münchwilen;4721;Bichelsee-Balterswil;1874;862;15;18;829;216;613;46
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2015;Weinfelden;4901;Birwinken;936;637;3;6;628;181;447;68.06
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2015;Weinfelden;4471;Bischofszell;3487;1718;31;13;1674;638;1036;49.27
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2013;Kreuzlingen;4643;Bottighofen;1234;850;24;7;819;386;433;68.88
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2014;Münchwilen;4723;Braunau;484;256;7;3;246;73;173;52.89
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2015;Weinfelden;4911;Bürglen;2118;1207;33;27;1147;540;607;56.99
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2015;Weinfelden;4921;Bussnang;1501;898;16;2;880;314;566;59.83
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2012;Frauenfeld;4545;Diessenhofen;2039;992;40;0;952;382;570;48.65
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2011;Arbon;4406;Dozwil;421;289;5;3;281;109;172;68.65
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2011;Arbon;4411;Egnach;2952;1986;37;42;1907;841;1066;67.28
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2015;Weinfelden;4476;Erlen;2048;1256;18;8;1230;452;778;61.33
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2013;Kreuzlingen;4646;Ermatingen;1798;1022;26;10;986;387;599;56.84
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2012;Frauenfeld;4806;Eschenz;1139;524;8;0;516;163;353;46.01
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2014;Münchwilen;4724;Eschlikon;2836;1339;30;22;1287;457;830;47.21
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2012;Frauenfeld;4561;Felben-Wellhausen;1645;739;13;15;711;274;437;44.92
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2014;Münchwilen;4726;Fischingen;1898;925;17;10;898;273;625;48.74
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2012;Frauenfeld;4566;Frauenfeld;15360;7532;310;82;7140;3106;4034;49.04
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2012;Frauenfeld;4571;Gachnang;2357;1192;26;23;1143;494;649;50.57
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2013;Kreuzlingen;4651;Gottlieben;168;108;8;2;98;46;52;64.29
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2013;Kreuzlingen;4656;Güttingen;959;657;9;6;642;245;397;68.51
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2015;Weinfelden;4486;Hauptwil-Gottshaus;1281;608;7;6;595;195;400;47.46
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2011;Arbon;4416;Hefenhofen;864;546;11;12;523;161;362;63.19
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2012;Frauenfeld;4811;Herdern;685;370;9;14;347;144;203;54.01
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2015;Weinfelden;4495;Hohentannen;413;252;6;4;242;84;158;61.02
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2012;Frauenfeld;4816;Homburg;1086;602;17;17;568;166;402;55.43
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2011;Arbon;4421;Horn;1790;831;8;16;807;386;421;46.42
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2012;Frauenfeld;4590;Hüttlingen;605;323;9;5;309;93;216;53.39
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2012;Frauenfeld;4821;Hüttwilen;1096;611;15;12;584;237;347;55.75
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2013;Kreuzlingen;4666;Kemmental;1517;886;14;13;859;293;566;58.4
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2011;Arbon;4426;Kesswil;651;470;5;6;459;247;212;72.2
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2015;Weinfelden;4501;Kradolf-Schönenberg;2134;1231;17;9;1205;493;712;57.69
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2013;Kreuzlingen;4671;Kreuzlingen;8432;4570;99;86;4385;1883;2502;54.2
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2013;Kreuzlingen;4681;Langrickenbach;765;580;6;2;572;148;424;75.82
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2013;Kreuzlingen;4683;Lengwil;896;642;10;26;606;125;481;71.65
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2014;Münchwilen;4741;Lommis;780;424;3;8;413;150;263;54.36
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2012;Frauenfeld;4826;Mammern;364;203;8;1;194;66;128;55.77
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2015;Weinfelden;4941;Märstetten;1751;1114;23;5;1086;410;676;63.62
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2012;Frauenfeld;4591;Matzingen;1584;631;10;3;618;252;366;39.84
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2012;Frauenfeld;4831;Müllheim;1780;842;14;37;791;325;466;47.3
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2014;Münchwilen;4746;Münchwilen;3149;1382;37;10;1335;450;885;43.89
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2013;Kreuzlingen;4691;Münsterlingen;1587;1023;17;0;1006;357;649;64.46
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2012;Frauenfeld;4601;Neunforn;729;381;13;0;368;126;242;52.26
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2012;Frauenfeld;4841;Pfyn;1362;697;12;10;675;264;411;51.17
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2013;Kreuzlingen;4846;Raperswilen;299;186;4;0;182;58;124;62.21
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2014;Münchwilen;4751;Rickenbach b. Wil;1507;577;9;8;560;218;342;38.29
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2011;Arbon;4431;Roggwil;1968;1043;17;14;1012;462;550;53
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2011;Arbon;4436;Romanshorn;6095;3353;90;51;3212;1437;1775;55.01
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2013;Kreuzlingen;4851;Salenstein;777;478;4;9;465;189;276;61.52
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2011;Arbon;4441;Salmsach;801;473;8;5;460;174;286;59.05
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2012;Frauenfeld;4546;Schlatt;1136;505;12;0;493;154;339;44.45
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2015;Weinfelden;4756;Schönholzerswilen;556;325;4;3;318;90;228;58.45
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2014;Münchwilen;4761;Sirnach;4610;2016;38;39;1939;689;1250;43.73
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2011;Arbon;4446;Sommeri;378;258;3;11;244;58;186;68.25
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2012;Frauenfeld;4864;Steckborn;2291;1137;30;36;1071;402;669;49.63
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2012;Frauenfeld;4606;Stettfurt;808;429;6;2;421;186;235;53.09
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2015;Weinfelden;4506;Sulgen;2239;1387;23;6;1358;575;783;61.95
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2013;Kreuzlingen;4696;Tägerwilen;2146;1188;22;43;1123;472;651;55.36
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2012;Frauenfeld;4611;Thundorf;979;544;13;9;522;191;331;55.57
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2014;Münchwilen;4776;Tobel-Tägerschen;952;416;2;18;396;137;259;43.7
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2012;Frauenfeld;4616;Uesslingen-Buch;797;427;11;6;410;140;270;53.58
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2011;Arbon;4451;Uttwil;1174;756;14;8;734;371;363;64.4
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2012;Frauenfeld;4871;Wagenhausen;1096;487;19;0;468;134;334;44.43
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2013;Kreuzlingen;4701;Wäldi;703;415;4;8;403;167;236;59.03
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2014;Münchwilen;4781;Wängi;2903;1263;17;34;1212;440;772;43.51
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2012;Frauenfeld;4621;Warth-Weiningen;915;529;14;10;505;222;283;57.81
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2015;Weinfelden;4946;Weinfelden;7128;4170;130;58;3982;2023;1959;58.5
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2015;Weinfelden;4951;Wigoltingen;1576;926;15;23;888;351;537;58.76
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2014;Münchwilen;4786;Wilen;1449;642;17;8;617;253;364;44.31
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2015;Weinfelden;4791;Wuppenau;772;381;6;7;368;115;253;49.35
23.09.2012;Gesetz betreffend die Änderung des Gesetzes über die Strassenverkehrsabgaben;4;Fakultatives Referendum;2015;Weinfelden;4511;Zihlschlacht-Sitterdorf;1459;861;10;37;814;353;461;59.01
