DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2014;Münchwilen;4551;Aadorf;6055;2335;42;13;2280;1124;1156;38.56
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2015;Weinfelden;4711;Affeltrangen;1640;647;7;4;636;238;398;39.45
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2013;Kreuzlingen;4641;Altnau;1393;591;3;0;588;255;333;42.43
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2015;Weinfelden;4881;Amlikon-Bissegg;966;444;3;5;436;173;263;45.96
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2011;Arbon;4461;Amriswil;7523;2939;43;20;2876;1357;1519;39.07
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2011;Arbon;4401;Arbon;8178;2976;44;39;2893;1336;1557;36.39
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2012;Frauenfeld;4536;Basadingen-Schlattingen;1237;549;11;11;527;239;288;44.38
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2015;Weinfelden;4891;Berg;2220;903;4;14;885;382;503;40.68
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2012;Frauenfeld;4801;Berlingen;576;311;6;0;305;164;141;53.99
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2014;Münchwilen;4716;Bettwiesen;739;257;0;5;252;116;136;34.78
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2014;Münchwilen;4721;Bichelsee-Balterswil;1958;739;7;10;722;338;384;37.74
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2015;Weinfelden;4901;Birwinken;939;434;3;5;426;173;253;46.22
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2015;Weinfelden;4471;Bischofszell;3554;1381;14;11;1356;648;708;38.86
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2013;Kreuzlingen;4643;Bottighofen;1256;576;9;6;561;289;272;45.86
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2014;Münchwilen;4723;Braunau;530;247;4;0;243;92;151;46.6
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2015;Weinfelden;4911;Bürglen;2272;847;16;19;812;307;505;37.28
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2015;Weinfelden;4921;Bussnang;1552;675;8;2;665;217;448;43.49
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2012;Frauenfeld;4545;Diessenhofen;2040;793;13;0;780;387;393;38.87
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2011;Arbon;4406;Dozwil;452;272;4;2;266;112;154;60.18
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2011;Arbon;4411;Egnach;3168;1699;22;25;1652;768;884;53.63
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2015;Weinfelden;4476;Erlen;2144;788;5;22;761;351;410;36.75
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2013;Kreuzlingen;4646;Ermatingen;1916;825;6;13;806;400;406;43.06
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2012;Frauenfeld;4806;Eschenz;1149;455;4;0;451;216;235;39.6
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2014;Münchwilen;4724;Eschlikon;2987;1219;14;11;1194;554;640;40.81
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2012;Frauenfeld;4561;Felben-Wellhausen;1743;595;15;2;578;266;312;34.14
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2014;Münchwilen;4726;Fischingen;1946;777;11;11;755;316;439;39.93
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2012;Frauenfeld;4566;Frauenfeld;15816;6729;144;56;6529;3462;3067;42.55
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2012;Frauenfeld;4571;Gachnang;2695;1067;18;19;1030;520;510;39.59
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2013;Kreuzlingen;4651;Gottlieben;160;97;3;3;91;46;45;60.63
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2013;Kreuzlingen;4656;Güttingen;1005;477;6;8;463;203;260;47.46
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2015;Weinfelden;4486;Hauptwil-Gottshaus;1351;550;4;9;537;239;298;40.71
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2011;Arbon;4416;Hefenhofen;875;333;8;1;324;163;161;38.06
05.06.2016;"Kreditbegehren von 3'000'000 Franken als Anteil des Kantons Thurgau an den Kosten für die nächste Phase (2016-2019) des gemeinsam mit den Kantonen Appenzell Ausserrhoden und St. Gallen geführten Projekts ""Expo2027 Bodensee-Ostschweiz""";3;Obligatorisches Referendum;2012;Frauenfeld;4811;Herdern;748;332;6;4;322;163;159;44.39
