DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2014;Münchwilen;4551;Aadorf;6072;2594;67;24;2503;667;1836;42.72
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2015;Weinfelden;4711;Affeltrangen;1661;745;17;0;728;203;525;44.85
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2013;Kreuzlingen;4641;Altnau;1402;638;15;0;623;140;483;45.51
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2015;Weinfelden;4881;Amlikon-Bissegg;978;485;10;1;474;126;348;49.59
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2011;Arbon ;4461;Amriswil;7564;2656;68;26;2562;748;1814;35.11
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2011;Arbon ;4401;Arbon;8155;2792;78;66;2648;740;1908;34.24
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2012;Frauenfeld;4536;Basadingen-Schlattingen;1235;553;31;9;513;154;359;44.78
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2015;Weinfelden;4891;Berg;2232;944;15;23;906;210;696;42.29
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2012;Frauenfeld;4801;Berlingen;572;306;6;0;300;67;233;53.5
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2014;Münchwilen;4716;Bettwiesen;739;278;3;5;270;81;189;37.62
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2014;Münchwilen;4721;Bichelsee-Balterswil;1963;832;16;4;812;238;574;42.38
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2015;Weinfelden;4901;Birwinken;946;437;12;13;412;107;305;46.19
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2015;Weinfelden;4471;Bischofszell;3572;1289;33;21;1235;325;910;36.09
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2013;Kreuzlingen;4643;Bottighofen;1264;601;20;2;579;112;467;47.55
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2014;Münchwilen;4723;Braunau;528;247;6;2;239;53;186;46.78
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2015;Weinfelden;4911;Bürglen;2268;825;16;18;791;156;635;36.38
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2015;Weinfelden;4921;Bussnang;1557;716;11;0;705;188;517;45.99
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2012;Frauenfeld;4545;Diessenhofen;2046;855;50;0;805;203;602;41.79
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2011;Arbon ;4406;Dozwil;462;246;3;4;239;115;124;53.25
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2011;Arbon ;4411;Egnach;3206;1492;33;14;1445;291;1154;46.54
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2015;Weinfelden;4476;Erlen;2124;768;19;13;736;189;547;36.16
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2013;Kreuzlingen;4646;Ermatingen;1961;863;21;15;827;231;596;44.01
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2012;Frauenfeld;4806;Eschenz;1147;506;18;0;488;122;366;44.12
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2014;Münchwilen;4724;Eschlikon;3004;1433;21;16;1396;296;1100;47.7
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2012;Frauenfeld;4561;Felben-Wellhausen;1762;680;15;11;654;175;479;38.59
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2014;Münchwilen;4726;Fischingen;1975;924;15;16;893;254;639;46.78
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2012;Frauenfeld;4566;Frauenfeld;15879;7078;234;38;6806;1714;5092;44.57
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2012;Frauenfeld;4571;Gachnang;2798;1088;25;21;1042;258;784;38.88
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2013;Kreuzlingen;4651;Gottlieben;166;98;2;2;94;12;82;59.04
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2013;Kreuzlingen;4656;Güttingen;992;453;3;4;446;86;360;45.67
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2015;Weinfelden;4486;Hauptwil-Gottshaus;1338;480;6;4;470;138;332;35.87
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2011;Arbon ;4416;Hefenhofen;885;329;8;2;319;95;224;37.18
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2012;Frauenfeld;4811;Herdern;740;355;2;8;345;97;248;47.97
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2015;Weinfelden;4495;Hohentannen;437;165;3;0;162;44;118;37.76
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2012;Frauenfeld;4816;Homburg;1120;497;10;8;479;165;314;44.38
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2011;Arbon ;4421;Horn;1821;738;13;12;713;176;537;40.53
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2012;Frauenfeld;4590;Hüttlingen;600;262;8;8;246;66;180;43.67
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2012;Frauenfeld;4821;Hüttwilen;1186;615;14;7;594;152;442;51.85
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2013;Kreuzlingen;4666;Kemmental;1629;617;9;2;606;128;478;37.88
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2011;Arbon ;4426;Kesswil;643;336;8;9;319;74;245;52.26
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2015;Weinfelden;4501;Kradolf-Schönenberg;2208;819;13;5;801;147;654;37.09
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2013;Kreuzlingen;4671;Kreuzlingen;8439;4100;148;62;3890;1032;2858;48.58
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2013;Kreuzlingen;4681;Langrickenbach;848;343;4;8;331;80;251;40.45
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2013;Kreuzlingen;4683;Lengwil;978;416;6;13;397;107;290;42.54
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2014;Münchwilen;4741;Lommis;848;386;4;8;374;106;268;45.52
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2012;Frauenfeld;4826;Mammern;393;199;3;0;196;43;153;50.64
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2015;Weinfelden;4941;Märstetten;1935;912;46;13;853;182;671;47.13
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2012;Frauenfeld;4591;Matzingen;1606;637;13;2;622;128;494;39.66
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2012;Frauenfeld;4831;Müllheim;1974;724;17;21;686;195;491;36.68
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2014;Münchwilen;4746;Münchwilen;3313;1216;15;18;1183;250;933;36.7
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2013;Kreuzlingen;4691;Münsterlingen;1685;725;17;0;708;152;556;43.03
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2012;Frauenfeld;4601;Neunforn;776;337;13;5;319;70;249;43.43
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2012;Frauenfeld;4841;Pfyn;1335;546;16;7;523;154;369;40.9
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2013;Kreuzlingen;4846;Raperswilen;291;132;4;0;128;38;90;45.36
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2014;Münchwilen;4751;Rickenbach b. Wil;1513;539;6;2;531;122;409;35.62
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2011;Arbon ;4431;Roggwil;2077;785;17;16;752;192;560;37.79
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2011;Arbon ;4436;Romanshorn;6273;2947;103;39;2805;679;2126;46.98
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2013;Kreuzlingen;4851;Salenstein;798;419;4;9;406;84;322;52.51
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2011;Arbon ;4441;Salmsach;840;336;9;1;326;93;233;40
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2012;Frauenfeld;4546;Schlatt;1193;481;17;3;461;113;348;40.32
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2015;Weinfelden;4756;Schönholzerswilen;573;255;4;0;251;50;201;44.5
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2014;Münchwilen;4761;Sirnach;4851;1941;16;68;1857;457;1400;40.01
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2011;Arbon ;4446;Sommeri;380;175;5;5;165;41;124;46.05
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2012;Frauenfeld;4864;Steckborn;2303;1002;36;0;966;232;734;43.51
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2012;Frauenfeld;4606;Stettfurt;838;449;7;9;433;111;322;53.58
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2015;Weinfelden;4506;Sulgen;2324;899;16;2;881;198;683;38.68
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2013;Kreuzlingen;4696;Tägerwilen;2289;969;20;28;921;160;761;42.33
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2012;Frauenfeld;4611;Thundorf;1054;485;6;7;472;95;377;46.02
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2014;Münchwilen;4776;Tobel-Tägerschen;1075;406;3;18;385;100;285;37.77
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2012;Frauenfeld;4616;Uesslingen-Buch;814;371;6;1;364;95;269;45.58
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2011;Arbon ;4451;Uttwil;1236;523;15;3;505;122;383;42.31
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2012;Frauenfeld;4871;Wagenhausen;1075;445;20;10;415;126;289;41.4
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2013;Kreuzlingen;4701;Wäldi;714;297;7;2;288;73;215;41.6
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2014;Münchwilen;4781;Wängi;3146;1356;24;21;1311;257;1054;43.1
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2012;Frauenfeld;4621;Warth-Weiningen;932;440;20;10;410;116;294;47.21
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2015;Weinfelden;4946;Weinfelden;7342;3332;62;50;3220;660;2560;45.38
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2015;Weinfelden;4951;Wigoltingen;1609;655;23;14;618;141;477;40.71
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2014;Münchwilen;4786;Wilen;1647;708;6;5;697;91;606;42.99
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2015;Weinfelden;4791;Wuppenau;806;359;14;0;345;91;254;44.54
27.11.2016;"Volksinitiative ""Ja zu einer guten Thurgauer Volksschule""";1;Volksinitiative;2015;Weinfelden;4511;Zihlschlacht-Sitterdorf;1532;554;0;8;546;155;391;36.16
