DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
12.02.2017;"Volksabstimmung zum Gegenvorschlag zur Volksinitiative ""Ja zu einer intakten Thurgauer Kulturlandschaft""";3;Obligatorisches Referendum;2014;Münchwilen;4551;Aadorf;6088;2320;64;13;2243;1846;397;38.11
12.02.2017;"Volksabstimmung zum Gegenvorschlag zur Volksinitiative ""Ja zu einer intakten Thurgauer Kulturlandschaft""";3;Obligatorisches Referendum;2015;Weinfelden;4711;Affeltrangen;1656;670;6;6;658;507;151;40.46
12.02.2017;"Volksabstimmung zum Gegenvorschlag zur Volksinitiative ""Ja zu einer intakten Thurgauer Kulturlandschaft""";3;Obligatorisches Referendum;2013;Kreuzlingen;4641;Altnau;1388;616;13;0;603;512;91;44.38
12.02.2017;"Volksabstimmung zum Gegenvorschlag zur Volksinitiative ""Ja zu einer intakten Thurgauer Kulturlandschaft""";3;Obligatorisches Referendum;2015;Weinfelden;4881;Amlikon-Bissegg;978;430;8;5;417;320;97;43.97
12.02.2017;"Volksabstimmung zum Gegenvorschlag zur Volksinitiative ""Ja zu einer intakten Thurgauer Kulturlandschaft""";3;Obligatorisches Referendum;2011;Arbon;4461;Amriswil;7564;2632;55;17;2560;2093;467;34.8
12.02.2017;"Volksabstimmung zum Gegenvorschlag zur Volksinitiative ""Ja zu einer intakten Thurgauer Kulturlandschaft""";3;Obligatorisches Referendum;2011;Arbon;4401;Arbon;8124;2946;73;44;2829;2242;587;36.26
12.02.2017;"Volksabstimmung zum Gegenvorschlag zur Volksinitiative ""Ja zu einer intakten Thurgauer Kulturlandschaft""";3;Obligatorisches Referendum;2012;Frauenfeld;4536;Basadingen-Schlattingen;1228;546;27;9;510;366;144;44.46
12.02.2017;"Volksabstimmung zum Gegenvorschlag zur Volksinitiative ""Ja zu einer intakten Thurgauer Kulturlandschaft""";3;Obligatorisches Referendum;2015;Weinfelden;4891;Berg;2231;923;20;19;884;721;163;41.37
12.02.2017;"Volksabstimmung zum Gegenvorschlag zur Volksinitiative ""Ja zu einer intakten Thurgauer Kulturlandschaft""";3;Obligatorisches Referendum;2012;Frauenfeld;4801;Berlingen;576;299;6;4;289;227;62;51.91
12.02.2017;"Volksabstimmung zum Gegenvorschlag zur Volksinitiative ""Ja zu einer intakten Thurgauer Kulturlandschaft""";3;Obligatorisches Referendum;2014;Münchwilen;4716;Bettwiesen;741;294;3;7;284;221;63;39.68
12.02.2017;"Volksabstimmung zum Gegenvorschlag zur Volksinitiative ""Ja zu einer intakten Thurgauer Kulturlandschaft""";3;Obligatorisches Referendum;2014;Münchwilen;4721;Bichelsee-Balterswil;1979;816;22;22;772;617;155;41.23
12.02.2017;"Volksabstimmung zum Gegenvorschlag zur Volksinitiative ""Ja zu einer intakten Thurgauer Kulturlandschaft""";3;Obligatorisches Referendum;2015;Weinfelden;4901;Birwinken;938;420;11;5;404;334;70;44.78
12.02.2017;"Volksabstimmung zum Gegenvorschlag zur Volksinitiative ""Ja zu einer intakten Thurgauer Kulturlandschaft""";3;Obligatorisches Referendum;2015;Weinfelden;4471;Bischofszell;3585;1341;18;13;1310;1100;210;37.41
12.02.2017;"Volksabstimmung zum Gegenvorschlag zur Volksinitiative ""Ja zu einer intakten Thurgauer Kulturlandschaft""";3;Obligatorisches Referendum;2013;Kreuzlingen;4643;Bottighofen;1265;637;22;10;605;512;93;50.36
