BFS-Nr.,Gemeinde,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
20,Kanton Thurgau,288846,15114,15258,14369,13787,14768,17287,20581,20793,19726,18190,20650,23237,20194,16405,13339,10909,7355,4457,2427
2011,Bezirk Arbon,59451,3083,3075,2844,2823,3113,3517,4293,4254,3951,3701,4117,4650,4213,3357,2749,2406,1695,1011,599
4461,Amriswil,14273,772,768,697,718,780,1018,1166,1129,924,833,859,1033,965,812,578,498,379,198,146
4401,Arbon,15413,774,793,741,666,713,869,1042,1080,1049,1053,1141,1198,1051,800,744,706,510,316,167
4406,Dozwil,713,40,35,54,35,27,32,41,39,59,44,43,70,46,33,35,37,26,11,6
4411,Egnach,4888,263,288,278,247,247,222,323,345,341,308,371,396,387,266,203,157,131,71,44
4416,Hefenhofen,1294,64,62,68,64,72,82,99,91,79,85,102,123,110,83,43,29,24,10,4
4421,Horn,2900,131,91,104,135,131,139,195,209,178,198,233,249,226,183,149,147,102,68,32
4426,Kesswil,1007,57,51,47,62,55,33,39,53,62,61,80,82,91,61,64,40,27,30,12
4431,Roggwil,3350,184,188,186,187,212,169,210,229,221,231,246,289,245,178,149,103,49,49,25
4436,Romanshorn,11491,552,584,504,512,660,710,878,803,765,627,771,871,769,686,583,517,366,197,136
4441,Salmsach,1562,99,97,67,68,88,110,124,123,114,91,87,116,122,82,67,57,23,20,7
4446,Sommeri,649,52,39,23,23,45,43,55,62,46,19,34,44,50,49,26,16,14,6,3
4451,Uttwil,1911,95,79,75,106,83,90,121,91,113,151,150,179,151,124,108,99,44,35,17
2012,Bezirk Frauenfeld,71058,3569,3703,3554,3356,3631,4161,4905,5114,4800,4571,5026,5718,4919,4236,3438,2835,1838,1093,591
4536,Basadingen-Schlattingen,1845,89,96,83,113,94,89,91,117,117,109,155,195,142,119,91,63,36,32,14
4801,Berlingen,928,33,44,27,31,27,24,45,65,56,44,67,91,91,63,79,57,44,26,14
4545,Diessenhofen,4101,210,185,200,194,181,260,282,311,272,262,289,294,268,235,205,212,148,59,34
4806,Eschenz,1885,91,102,80,88,66,93,104,124,137,116,133,174,158,140,92,91,63,23,10
4561,Felben-Wellhausen,3191,170,166,158,167,170,214,215,239,252,202,211,230,231,199,137,111,64,28,27
4566,Frauenfeld,25990,1227,1252,1249,1233,1434,1878,2035,1942,1709,1653,1726,1859,1596,1428,1222,1026,731,510,280
4571,Gachnang,4554,260,283,251,206,262,227,313,324,326,327,322,401,267,261,200,171,93,40,20
4811,Herdern,1126,62,56,53,55,56,47,64,89,83,64,102,110,97,65,48,39,23,9,4
4816,Homburg,1574,88,105,98,69,71,62,84,110,103,97,123,126,108,114,81,68,37,22,8
4590,Hüttlingen,849,46,50,44,37,40,39,59,62,58,60,63,63,67,66,37,26,19,8,5
4821,Hüttwilen,1763,82,109,128,93,63,72,106,106,136,123,138,163,117,117,88,55,45,11,11
4826,Mammern,691,26,44,36,37,28,23,40,43,55,49,66,59,49,49,36,17,12,15,7
4591,Matzingen,3102,189,189,163,122,200,206,286,232,223,194,195,225,209,166,120,93,51,25,14
4831,Müllheim,3206,164,164,165,155,180,172,213,217,219,225,248,268,246,177,133,125,78,44,13
4601,Neunforn,1082,73,69,39,26,40,68,73,78,68,56,63,114,90,64,58,59,26,9,9
4841,Pfyn,2201,128,99,111,123,107,122,128,192,152,147,164,177,161,146,95,68,36,34,11
4546,Schlatt,1853,95,116,86,89,96,88,106,123,122,144,151,172,131,102,90,61,47,22,12
4864,Steckborn,3989,132,177,212,176,169,145,228,249,266,243,281,367,334,285,248,217,126,84,50
4606,Stettfurt,1237,88,82,60,69,69,38,61,84,71,76,106,112,100,65,66,46,22,9,13
4611,Thundorf,1594,84,101,98,85,80,98,92,97,112,100,129,110,114,89,87,59,27,22,10
4616,Uesslingen-Buch,1116,75,55,45,42,50,55,90,77,70,60,69,106,95,79,51,45,26,18,8
4871,Wagenhausen,1780,74,84,95,91,92,86,97,115,117,129,132,173,136,105,99,68,50,25,12
4621,Warth-Weiningen,1401,83,75,73,55,56,55,93,118,76,91,93,129,112,102,75,58,34,18,5
2013,Bezirk Kreuzlingen,51192,2485,2541,2418,2379,2361,2899,3599,3659,3668,3321,3906,4375,3734,2910,2314,1997,1393,819,414
4641,Altnau,2347,107,152,126,131,101,110,123,147,192,148,161,227,192,135,108,85,53,34,15
4643,Bottighofen,2694,144,124,134,115,101,95,148,184,174,191,209,242,215,172,134,133,86,61,32
4646,Ermatingen,3764,167,174,165,188,137,143,200,255,266,240,325,343,300,280,184,170,113,70,44
4651,Gottlieben,343,14,22,11,14,6,12,22,27,31,19,23,47,18,20,25,14,11,7,0
4656,Güttingen,1708,80,81,97,89,68,88,101,105,108,117,129,142,144,100,106,66,51,26,10
4666,Kemmental,2722,155,162,146,141,124,124,192,198,206,168,203,247,207,143,112,95,54,34,11
4671,Kreuzlingen,22774,1077,998,968,1008,1141,1545,1851,1780,1664,1494,1610,1739,1512,1181,975,924,711,392,204
4681,Langrickenbach,1441,87,86,81,77,74,87,109,98,101,81,111,137,100,83,62,36,14,11,6
4683,Lengwil,1754,92,103,99,99,80,89,98,128,123,126,160,146,126,107,68,51,38,10,11
4691,Münsterlingen,3511,157,190,163,152,177,168,211,238,251,209,288,325,297,205,182,134,88,55,21
4846,Raperswilen,435,27,23,23,16,18,18,32,28,27,21,35,39,37,32,25,14,9,8,3
4851,Salenstein,1432,60,53,59,57,40,57,91,66,83,73,125,176,156,114,95,69,28,19,11
4696,Tägerwilen,5148,250,306,282,248,245,297,374,328,367,356,445,457,343,268,178,170,116,82,36
4701,Wäldi,1119,68,67,64,44,49,66,47,77,75,78,82,108,87,70,60,36,21,10,10
2014,Bezirk Münchwilen,49219,2737,2742,2526,2426,2624,2875,3490,3531,3352,3039,3577,3986,3333,2779,2320,1704,1165,654,359
4551,Aadorf,9402,510,519,473,419,471,492,615,675,635,576,698,706,638,597,536,358,263,131,90
4716,Bettwiesen,1273,72,68,62,48,72,96,122,87,82,78,90,113,89,79,55,21,20,10,9
4721,Bichelsee-Balterswil,2995,150,163,172,168,156,139,180,236,201,182,219,285,206,164,135,118,74,31,16
4723,Braunau,855,51,53,35,44,42,53,65,87,57,47,70,83,41,43,25,38,16,5,0
4724,Eschlikon,4829,281,261,200,227,281,352,381,343,309,296,301,383,309,271,238,169,105,86,36
4726,Fischingen,2925,199,189,140,128,138,156,203,217,194,141,208,259,224,178,121,114,68,33,15
4741,Lommis,1250,79,75,68,53,75,44,84,77,94,68,81,129,115,77,53,31,27,12,8
