"BFS-Nr.","Gemeinde","2015","2016","2017","2018","2019","2020","2021","2022"
20,"Kanton Thurgau",266510,269731,272780,275488,278727,282080,285212,288846
2011,"Bezirk Arbon",54700,55467,55942,56364,57202,58199,58831,59451
4461,"Amriswil",13047,13293,13382,13460,13745,14157,14223,14273
4401,"Arbon",14184,14256,14430,14533,14718,14872,15123,15413
4406,"Dozwil",681,727,704,695,684,683,685,713
4411,"Egnach",4562,4681,4692,4702,4687,4773,4802,4888
4416,"Hefenhofen",1230,1243,1187,1193,1201,1276,1321,1294
4421,"Horn",2592,2600,2737,2748,2898,2883,2882,2900
4426,"Kesswil",997,992,999,989,1000,997,994,1007
4431,"Roggwil",2947,3050,3056,3059,3082,3253,3301,3350
4436,"Romanshorn",10708,10770,10927,11114,11236,11296,11446,11491
4441,"Salmsach",1402,1451,1411,1443,1454,1470,1491,1562
4446,"Sommeri",520,549,565,572,608,622,630,649
4451,"Uttwil",1830,1855,1852,1856,1889,1917,1933,1911
2012,"Bezirk Frauenfeld",65408,66496,67411,68034,68828,69513,70173,71058
4536,"Basadingen-Schlattingen",1807,1811,1807,1833,1828,1814,1835,1845
4801,"Berlingen",863,887,907,893,894,907,926,928
4545,"Diessenhofen",3646,3745,3889,3985,4029,4091,4098,4101
4806,"Eschenz",1719,1721,1754,1741,1833,1862,1889,1885
4561,"Felben-Wellhausen",2686,2743,2790,2836,2858,2864,2963,3191
4566,"Frauenfeld",24733,25058,25297,25456,25622,25810,25816,25990
4571,"Gachnang",3978,4211,4269,4347,4443,4472,4507,4554
4811,"Herdern",1011,1023,1028,1077,1111,1114,1105,1126
4816,"Homburg",1510,1537,1531,1542,1541,1544,1552,1574
4590,"Hüttlingen",829,837,834,843,840,825,833,849
4821,"Hüttwilen",1665,1701,1709,1726,1769,1763,1726,1763
4826,"Mammern",625,650,648,651,658,677,686,691
4591,"Matzingen",2618,2675,2840,2895,2958,3019,3027,3102
4831,"Müllheim",2879,2930,2964,2980,2995,2994,3173,3206
4601,"Neunforn",957,986,1004,1032,1040,1080,1066,1082
4841,"Pfyn",1932,1943,1992,2010,2065,2094,2206,2201
4546,"Schlatt",1647,1657,1669,1698,1771,1808,1818,1853
4864,"Steckborn",3716,3740,3765,3742,3736,3828,3915,3989
4606,"Stettfurt",1164,1201,1213,1207,1228,1217,1236,1237
4611,"Thundorf",1427,1459,1451,1436,1486,1512,1548,1594
4616,"Uesslingen-Buch",1086,1075,1092,1085,1078,1090,1105,1116
4871,"Wagenhausen",1672,1654,1647,1678,1711,1765,1771,1780
4621,"Warth-Weiningen",1238,1252,1311,1341,1334,1363,1372,1401
2013,"Bezirk Kreuzlingen",46496,47041,47746,48289,48965,49687,50380,51192
4641,"Altnau",2148,2161,2206,2236,2280,2336,2318,2347
4643,"Bottighofen",2166,2180,2164,2219,2295,2392,2592,2694
4646,"Ermatingen",3199,3302,3371,3454,3521,3638,3728,3764
4651,"Gottlieben",320,323,348,337,331,334,335,343
4656,"Güttingen",1574,1560,1604,1591,1656,1663,1688,1708
4666,"Kemmental",2385,2453,2482,2537,2591,2592,2624,2722
4671,"Kreuzlingen",21499,21537,21795,21990,22193,22375,22528,22774
4681,"Langrickenbach",1274,1279,1307,1295,1274,1338,1383,1441
4683,"Lengwil",1653,1682,1709,1726,1738,1723,1721,1754
4691,"Münsterlingen",3187,3328,3444,3476,3495,3492,3498,3511
4846,"Raperswilen",396,391,394,414,413,416,418,435
4851,"Salenstein",1281,1285,1271,1318,1364,1409,1422,1432
4696,"Tägerwilen",4377,4510,4602,4635,4765,4924,5054,5148
4701,"Wäldi",1037,1050,1049,1061,1049,1055,1071,1119
2014,"Bezirk Münchwilen",45862,46294,46648,47158,47508,48182,48734,49219
4551,"Aadorf",8793,8838,8843,9004,9028,9198,9343,9402
